	A1	A2	A3	A4	A5	A6
T1	660	610	180	660	750	630
T2	310	870	530	660	910	840
T3	400	860	140	390	230	410
T4	380	530	820	650	740	660
T5	560	820	130	660	990	330
T6	480	360	300	920	220	790
T7	900	290	370	590	270	360
T8	980	970	610	360	600	280
T9	260	970	190	290	350	170
T10	650	700	330	640	370	530
T11	610	820	940	370	530	450
T12	140	560	730	530	740	770
T13	230	520	360	220	780	400
T14	810	810	730	940	760	340
T15	260	360	830	340	680	120
T16	710	210	840	910	470	350
T17	530	700	840	570	300	940
T18	440	280	640	270	830	860
T19	720	900	880	600	990	870
T20	270	430	610	530	570	790
T21	970	200	180	270	550	180
T22	120	150	900	250	870	280
T23	300	730	900	900	400	420
T24	580	690	240	930	300	360
T25	650	120	470	220	960	150
T26	830	980	790	630	350	550
T27	990	730	180	850	130	950
T28	150	890	750	230	440	430
T29	730	730	190	330	640	230
T30	230	270	830	680	520	600
T31	260	800	600	760	980	290
T32	710	110	570	140	200	380
T33	700	120	840	850	690	140
T34	600	390	880	130	670	370
T35	300	960	170	530	650	470
T36	960	800	720	550	150	600
T37	670	600	830	730	660	890
T38	710	590	430	510	650	940
T39	830	170	800	960	270	280
T40	800	380	560	490	960	920
T41	610	480	300	600	910	700
T42	870	550	640	620	950	200
T43	250	240	360	610	440	610
T44	900	610	450	510	450	300
T45	330	690	160	520	650	600
T46	540	960	890	150	430	360
T47	510	430	610	420	950	660
T48	650	360	170	520	830	130
T49	340	510	980	780	200	890
T50	540	180	940	980	490	660
T51	320	420	370	130	730	630
T52	850	200	160	120	840	650
T53	630	210	600	650	160	110
T54	800	700	190	840	860	800
T55	140	730	360	350	880	670
T56	860	690	840	350	460	230
T57	140	300	870	560	700	590
T58	130	630	110	300	560	290
T59	930	320	110	770	850	470
T60	730	890	920	490	570	140
T61	300	990	420	730	220	670
T62	480	820	390	770	910	150
T63	420	280	740	130	740	840
T64	900	110	590	460	240	360
