	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	510	510	510	330	540	430	410	210	200	970
T2	950	810	560	700	130	860	660	970	980	710
T3	470	630	240	230	310	930	560	970	500	770
T4	830	250	110	600	270	210	380	830	200	480
T5	870	200	790	280	600	360	510	170	220	920
T6	680	900	340	160	840	160	790	490	610	140
T7	200	610	500	720	650	260	360	500	150	300
T8	470	670	850	560	620	480	260	450	950	940
T9	220	200	660	340	420	880	930	570	200	670
T10	450	840	720	590	760	570	830	250	680	650
T11	550	800	100	400	990	250	350	110	580	700
T12	300	370	260	790	220	800	770	870	790	380
T13	250	990	290	480	940	940	580	760	100	770
T14	220	580	330	670	390	980	350	160	250	160
T15	820	940	390	570	370	410	490	750	170	550
T16	440	490	480	740	400	950	230	220	280	860
T17	860	530	490	830	620	550	140	770	790	640
T18	370	230	480	620	170	970	460	870	630	450
T19	210	480	210	510	990	450	940	250	120	400
T20	130	940	630	590	290	970	820	500	380	850
T21	570	330	480	470	550	640	990	370	170	750
T22	370	540	290	720	690	650	640	620	260	950
T23	560	510	580	770	200	800	120	490	650	820
T24	790	650	990	800	330	120	290	450	590	100
T25	790	680	970	740	640	910	650	480	500	900
T26	410	120	780	590	460	450	260	870	470	150
T27	510	270	690	330	860	820	130	730	270	170
T28	180	420	330	510	540	620	630	420	830	550
T29	360	810	890	630	130	520	360	320	700	560
T30	210	780	280	330	740	170	580	530	770	380
T31	730	430	440	490	670	600	580	800	630	170
T32	320	390	220	760	680	850	320	100	900	850
T33	160	370	470	470	530	280	310	920	250	710
T34	110	410	330	910	480	720	520	490	980	390
T35	630	500	970	890	740	630	530	150	500	400
T36	860	900	900	150	240	490	190	680	660	950
T37	910	840	840	170	200	500	340	910	310	390
T38	460	810	790	740	850	310	720	970	290	280
T39	190	640	410	560	530	340	810	650	700	920
T40	520	340	780	280	100	310	280	230	350	600
T41	550	520	110	970	300	880	560	140	950	310
T42	790	270	490	610	170	680	690	330	390	990
T43	250	630	560	950	400	340	160	890	760	220
T44	960	340	780	320	330	630	150	920	730	770
T45	710	660	330	120	290	160	440	640	870	210
T46	870	460	930	340	160	640	400	460	870	840
T47	870	430	650	100	490	910	990	700	530	510
T48	760	700	160	790	350	690	870	410	900	940
T49	820	330	610	680	570	450	840	710	370	620
T50	410	530	670	530	640	180	650	220	420	100
T51	980	330	830	580	900	970	170	360	130	410
T52	210	790	920	510	120	630	640	670	190	230
T53	650	740	970	420	710	570	600	750	850	710
T54	800	490	140	110	710	140	130	510	390	690
T55	530	500	890	760	580	140	560	330	830	800
T56	830	600	620	220	190	600	850	680	410	850
T57	740	470	340	310	800	780	280	120	650	320
T58	230	440	640	370	610	170	230	800	640	120
T59	180	400	730	690	670	350	360	850	640	210
T60	150	310	250	290	660	880	230	730	910	270
T61	160	180	930	190	890	530	960	970	580	880
T62	260	560	120	720	800	610	660	290	410	510
T63	270	820	930	820	960	680	120	230	510	770
T64	410	540	460	700	730	840	280	790	790	480
T65	910	570	210	950	290	530	100	930	310	470
T66	680	790	480	180	990	330	130	960	220	330
T67	690	790	970	320	900	590	780	370	240	170
