	A1	A2	A3	A4	A5	A6
T1	370	670	390	740	920	250
T2	590	540	830	630	600	130
T3	920	750	810	800	600	420
T4	500	950	190	960	520	170
T5	860	340	830	640	240	340
T6	460	540	160	720	540	490
T7	620	450	610	870	410	630
T8	760	300	470	500	630	820
T9	830	810	120	740	300	430
T10	960	250	160	530	190	510
T11	660	240	310	450	440	240
T12	850	990	600	620	480	670
T13	290	160	310	130	950	800
T14	240	280	210	850	330	320
T15	510	250	970	560	630	650
T16	460	750	180	780	470	220
T17	450	990	550	930	250	820
T18	430	280	660	430	650	820
T19	170	460	430	850	170	610
T20	400	710	250	480	760	140
T21	820	160	310	900	730	350
T22	450	520	500	700	800	480
T23	350	850	110	580	510	630
T24	790	690	450	220	650	240
