	A1	A2	A3	A4	A5	A6
T1	440	640	510	990	850	570
T2	290	110	350	280	590	770
T3	260	970	330	880	880	280
T4	750	600	320	190	240	310
T5	160	330	390	630	260	850
T6	980	450	510	490	350	960
T7	610	900	620	160	600	390
T8	670	140	980	760	290	520
T9	870	590	630	340	520	730
T10	810	870	660	310	290	100
T11	340	920	680	480	650	640
T12	910	620	560	400	410	300
T13	410	370	830	830	510	380
T14	540	590	130	390	560	630
T15	440	130	800	680	360	760
T16	670	890	770	440	350	970
T17	390	200	460	790	880	790
T18	390	830	980	250	360	910
T19	830	720	240	110	170	600
T20	240	120	660	890	230	410
T21	800	600	320	660	850	690
T22	690	390	690	670	280	360
T23	990	920	970	430	730	910
T24	970	850	770	770	780	710
T25	150	160	360	180	970	370
T26	320	330	670	190	880	420
T27	950	830	180	860	490	320
T28	300	330	510	360	770	680
T29	280	930	330	160	530	970
T30	720	810	150	710	450	660
T31	140	720	600	810	230	500
T32	140	600	580	590	440	570
