	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	360	720	480	870	210	610	330	810	900	260
T2	490	210	590	480	300	270	630	570	130	730
T3	610	670	520	530	760	500	630	840	430	110
T4	630	120	110	950	210	180	720	940	160	340
T5	950	640	790	990	140	910	120	340	130	340
T6	560	730	480	140	150	360	350	440	320	470
T7	110	430	760	800	380	440	270	100	730	830
T8	330	440	710	720	540	550	870	890	240	250
T9	870	330	430	750	870	780	380	590	820	120
T10	680	450	960	280	240	610	190	440	330	930
T11	300	800	450	380	950	800	610	350	290	670
T12	400	220	760	930	620	990	570	210	750	120
T13	310	310	690	700	420	470	740	630	260	310
T14	640	710	830	620	810	300	370	490	190	600
T15	130	800	980	500	960	150	770	860	930	250
T16	360	980	420	400	490	470	320	150	650	500
T17	290	480	430	310	990	450	380	600	920	460
T18	200	260	230	930	330	530	350	690	720	870
T19	920	770	210	210	770	960	740	790	220	400
T20	590	800	400	470	190	890	740	570	610	200
T21	990	810	910	840	680	610	980	360	980	270
T22	560	780	410	940	330	730	540	400	180	500
T23	260	230	960	280	450	360	590	740	650	890
T24	410	800	490	970	150	480	810	310	800	950
T25	210	850	210	240	990	680	870	940	920	480
T26	690	230	810	940	440	430	440	790	410	390
T27	940	690	730	410	740	420	960	970	250	650
T28	250	650	290	680	490	260	640	880	280	510
T29	970	690	730	730	730	920	630	410	630	330
T30	480	930	240	870	560	910	840	460	510	980
T31	480	260	140	740	300	810	550	740	630	370
T32	260	790	210	590	460	680	930	480	130	480
T33	350	270	970	390	180	730	790	330	760	340
T34	590	870	580	110	630	140	230	500	240	990
T35	990	500	570	640	390	700	300	980	960	710
T36	670	230	670	450	460	940	460	430	140	580
T37	410	970	190	120	130	780	570	280	220	880
T38	600	460	510	640	800	370	360	160	860	450
T39	100	900	400	360	560	800	810	690	130	460
T40	750	750	660	660	610	420	330	700	310	920
T41	330	540	400	900	820	120	590	990	750	820
T42	250	420	120	710	340	250	190	680	170	120
T43	560	380	360	640	360	820	280	190	640	340
T44	400	340	790	790	510	500	730	270	460	910
T45	280	730	460	970	180	560	760	270	980	730
T46	810	390	380	120	330	480	780	830	670	850
T47	810	140	350	960	710	400	460	820	780	210
T48	230	980	390	410	510	250	520	650	270	340
T49	970	990	210	390	250	870	780	800	300	520
T50	420	140	690	660	690	310	500	460	470	110
T51	770	760	900	630	460	250	820	250	150	690
T52	100	650	290	480	690	950	660	350	540	720
T53	530	290	370	490	830	470	300	780	660	520
T54	870	420	450	820	610	340	250	120	860	430
T55	980	900	740	830	810	720	170	310	140	780
T56	940	830	730	660	950	240	180	750	300	950
T57	810	470	960	260	260	200	240	130	130	280
T58	200	630	420	660	920	180	770	590	260	110
T59	560	710	660	750	910	960	780	640	980	480
T60	910	240	890	210	130	730	300	960	450	490
T61	570	480	780	350	710	310	960	750	980	630
T62	630	430	300	420	160	810	360	330	270	120
T63	990	740	520	300	210	950	530	410	320	370
T64	890	120	870	860	690	810	640	650	250	620
T65	460	660	320	710	190	650	280	870	240	380
T66	120	540	910	670	900	620	100	980	320	770
T67	310	100	480	260	140	860	320	860	130	350
T68	480	780	780	800	460	980	730	610	490	630
T69	570	150	360	950	610	960	970	250	480	230
T70	400	760	930	370	850	220	700	330	910	570
T71	490	640	700	330	970	380	380	620	940	130
T72	870	540	520	620	580	790	320	300	560	710
T73	510	390	920	610	910	890	780	630	950	870
T74	680	920	550	520	230	350	700	480	260	590
T75	470	970	770	890	560	500	180	550	610	430
T76	580	680	440	120	420	830	220	140	800	540
T77	350	810	610	410	330	430	740	350	360	900
T78	520	300	690	320	440	870	710	160	750	360
T79	310	340	860	430	640	840	970	480	820	220
T80	720	330	600	780	470	930	960	480	750	100
T81	350	170	500	840	480	730	360	680	540	330
T82	230	450	840	970	490	730	720	580	300	210
T83	270	820	400	640	190	830	390	740	110	860
T84	560	560	870	330	390	160	500	190	660	500
T85	310	190	690	630	350	720	470	780	380	490
T86	470	450	970	700	520	710	960	990	980	280
T87	160	250	670	190	720	900	560	390	670	340
T88	360	790	920	330	150	880	720	270	740	400
T89	910	650	340	810	530	170	170	670	490	650
T90	850	330	210	600	340	200	920	220	890	690
T91	910	580	900	510	750	670	880	480	910	340
T92	890	480	750	210	540	930	980	450	810	150
T93	410	910	430	630	790	110	940	630	420	960
T94	540	560	100	940	660	610	820	140	220	860
T95	340	190	610	110	250	130	490	320	580	450
T96	690	630	400	660	560	710	800	930	550	500
T97	470	500	340	970	240	850	440	940	970	130
T98	320	130	870	670	470	900	550	760	420	200
T99	240	990	960	860	840	450	890	350	500	380
T100	300	910	530	910	450	320	860	890	460	160
T101	290	240	140	350	160	890	850	720	560	320
T102	290	640	290	300	180	100	270	520	270	190
T103	800	580	470	540	420	270	510	780	930	270
T104	360	670	380	230	800	260	640	300	160	570
T105	260	400	670	220	250	310	850	870	410	370
T106	460	770	790	880	990	190	270	210	880	100
T107	500	230	970	790	920	250	980	780	880	480
T108	900	300	740	390	360	970	920	370	220	570
T109	840	730	120	460	260	850	680	990	610	310
T110	310	620	980	660	330	180	320	640	790	770
T111	420	100	740	620	130	760	390	920	150	740
T112	830	990	550	450	180	560	860	340	120	690
T113	410	630	940	910	610	250	620	860	250	470
T114	860	210	530	690	440	440	530	940	790	770
T115	910	550	630	650	380	700	150	930	540	330
T116	570	210	160	360	710	570	580	380	360	500
T117	430	330	330	280	710	540	840	430	950	290
T118	430	960	540	780	250	440	620	330	940	690
T119	250	740	280	970	730	570	270	140	570	610
T120	320	210	810	150	150	240	760	950	310	250
T121	650	240	760	790	760	640	170	970	720	680
T122	890	720	130	260	440	590	640	210	400	280
T123	400	110	590	170	930	810	520	500	720	930
T124	820	130	900	930	180	430	840	900	320	460
T125	900	150	570	110	650	740	970	900	120	240
T126	220	110	440	720	470	680	770	640	370	500
T127	110	360	450	530	850	300	550	390	410	190
T128	140	770	780	950	130	410	200	690	540	910
T129	930	190	190	300	750	270	710	370	110	800
T130	100	910	690	350	160	230	990	540	830	240
T131	540	540	240	600	630	620	750	390	280	840
T132	410	610	860	480	280	140	130	670	450	660
T133	770	930	790	870	580	530	200	210	370	660
T134	470	320	390	800	430	900	860	550	530	160
T135	180	620	400	440	450	870	980	690	500	160
T136	940	530	940	210	820	280	790	540	100	570
T137	340	820	870	100	920	390	830	190	960	930
T138	580	200	890	200	360	140	600	500	590	470
T139	990	530	350	390	860	720	730	450	830	430
T140	590	350	890	520	430	300	790	160	180	950
T141	540	680	630	860	980	920	920	270	970	430
T142	780	740	980	270	730	420	190	140	300	580
T143	630	900	940	410	930	810	450	130	820	380
T144	470	220	780	410	320	780	340	370	460	380
T145	160	460	840	690	610	970	210	110	740	280
T146	400	180	140	480	670	660	130	330	780	580
T147	750	460	470	840	810	340	390	440	580	880
T148	750	580	700	950	110	100	610	370	680	970
T149	900	810	530	550	300	800	230	810	740	840
T150	670	370	930	710	740	510	150	140	130	880
T151	120	620	780	830	190	240	420	270	940	960
T152	180	220	910	390	290	880	400	470	340	370
T153	420	260	770	320	850	300	170	300	200	150
T154	490	680	640	930	920	630	360	680	830	770
T155	300	530	280	160	100	530	830	470	210	520
T156	490	670	460	490	260	440	290	520	570	440
T157	780	880	420	940	400	220	600	290	990	460
T158	650	160	950	130	520	240	120	820	980	360
T159	890	440	620	110	630	840	840	490	640	120
T160	500	320	790	460	360	200	750	510	940	600
T161	920	240	740	510	490	450	180	580	610	120
T162	880	150	810	630	340	460	420	490	440	480
T163	880	160	770	590	520	600	280	190	470	960
T164	440	200	120	940	400	110	490	370	970	230
T165	130	580	600	780	490	430	870	740	900	400
T166	520	880	400	230	120	770	420	250	840	570
T167	490	640	860	340	610	710	620	910	850	180
T168	760	780	980	220	540	350	590	750	810	730
T169	280	540	390	770	690	850	530	830	920	830
T170	160	970	400	470	650	560	300	210	100	690
T171	370	630	150	740	900	330	300	820	320	330
T172	940	350	550	250	430	840	720	730	990	470
T173	320	800	160	820	580	970	120	160	280	480
T174	710	910	870	160	360	940	300	850	580	630
T175	190	640	100	420	240	730	860	280	900	920
T176	630	780	620	140	730	290	280	930	970	240
T177	260	930	150	920	220	210	830	900	850	110
T178	640	710	300	960	350	620	930	240	420	680
T179	120	800	560	840	540	100	460	850	670	740
T180	100	710	340	380	360	510	230	350	460	710
T181	570	620	710	940	220	190	440	650	280	710
T182	420	340	440	710	650	700	640	890	720	120
T183	470	890	920	580	990	470	850	290	780	310
T184	770	550	960	830	720	940	200	640	780	750
T185	720	850	810	470	400	520	230	800	350	840
T186	290	960	490	980	150	330	800	100	520	320
T187	610	320	530	310	180	750	370	660	150	830
T188	780	270	310	870	880	480	650	610	450	370
T189	840	390	260	490	270	750	560	860	880	740
T190	740	360	300	870	450	190	680	560	580	380
T191	740	490	770	840	590	910	680	530	420	610
T192	340	200	170	420	420	890	410	280	600	730
T193	160	410	410	930	100	810	610	210	500	560
T194	760	350	680	860	970	910	270	830	830	430
T195	410	660	610	950	460	320	140	110	580	370
T196	560	350	740	850	970	150	410	730	430	750
T197	740	430	860	390	180	100	880	310	280	470
T198	230	710	600	630	170	990	970	250	730	200
T199	990	340	260	390	840	970	670	440	930	910
T200	190	370	320	800	220	590	910	930	400	580
T201	850	550	680	870	300	730	390	300	810	550
T202	550	720	200	560	740	880	770	970	240	850
T203	280	170	770	390	500	160	940	510	210	870
T204	230	530	450	940	610	470	530	940	970	110
T205	220	740	450	400	590	350	190	840	900	430
T206	830	900	940	800	150	180	310	980	450	570
T207	810	910	560	400	600	140	930	120	120	440
T208	900	200	230	410	950	740	940	920	380	820
T209	760	220	930	340	630	880	660	590	560	880
T210	540	510	240	630	820	990	430	130	920	320
T211	310	510	890	290	860	880	200	390	890	770
T212	900	110	260	360	640	290	990	100	980	810
T213	920	540	200	130	680	220	970	670	710	420
T214	960	310	970	980	350	310	630	980	780	230
T215	560	620	340	180	850	730	150	860	720	630
T216	550	680	460	960	140	190	860	940	150	470
T217	800	310	200	280	410	150	490	880	930	610
T218	490	960	920	610	230	400	190	250	260	550
T219	280	200	310	930	150	390	750	290	510	380
T220	240	580	480	350	750	430	210	760	160	530
T221	430	370	840	120	590	190	530	520	850	390
T222	860	200	750	110	270	600	930	550	170	670
T223	720	530	640	960	280	600	760	290	340	870
T224	820	200	410	220	200	590	970	360	250	930
T225	200	250	550	810	510	860	270	760	410	300
T226	780	860	130	200	410	240	360	750	880	430
T227	950	600	350	820	540	350	270	560	460	400
T228	100	190	150	470	520	770	970	440	900	130
T229	860	500	500	250	470	480	850	610	290	150
T230	250	560	610	480	940	800	170	860	220	470
T231	210	610	550	800	420	150	720	670	800	910
T232	970	300	390	890	390	310	350	730	330	720
T233	820	890	850	830	210	640	510	370	150	360
T234	700	720	980	130	710	430	800	840	730	120
T235	790	550	430	530	990	230	680	740	110	900
T236	870	920	720	500	400	350	620	250	760	270
T237	770	810	130	820	710	630	250	960	390	440
T238	800	900	690	410	940	950	630	100	720	190
T239	550	570	440	750	820	810	310	870	430	980
T240	460	950	150	320	790	850	260	190	210	460
T241	720	840	490	160	990	210	970	250	750	100
T242	880	430	340	610	480	710	150	430	330	870
T243	220	180	920	220	270	330	290	890	360	160
T244	570	680	380	390	770	390	950	810	630	950
T245	220	550	190	810	460	360	420	550	150	480
T246	770	770	690	850	650	410	390	200	940	320
T247	520	150	390	750	820	760	830	900	840	220
T248	420	220	410	410	660	940	730	570	780	990
T249	210	670	180	140	590	800	810	130	840	240
T250	920	180	530	600	490	790	870	170	900	170
T251	560	530	640	660	840	860	710	880	770	510
T252	790	280	310	490	740	670	380	270	160	800
T253	160	380	720	740	290	720	420	790	970	700
T254	690	550	650	160	410	790	420	810	890	490
T255	210	390	910	820	160	620	470	110	590	410
T256	110	830	320	970	450	520	110	470	490	360
T257	290	180	950	710	290	800	620	970	210	810
T258	530	880	210	300	720	800	160	430	310	160
T259	280	740	730	810	370	350	290	630	670	470
T260	270	310	890	390	460	730	770	550	270	740
T261	480	100	140	210	910	250	640	810	700	790
T262	170	780	530	780	970	990	840	210	180	940
T263	170	630	830	960	870	770	280	420	830	710
T264	320	280	400	340	510	140	650	890	660	380
T265	470	130	730	940	260	910	680	570	770	440
T266	250	210	820	810	280	110	200	360	100	140
T267	530	650	440	350	380	280	330	630	960	120
T268	180	170	270	340	460	390	980	870	740	580
T269	660	520	620	500	850	350	420	330	730	700
T270	870	710	320	980	840	520	380	100	490	370
T271	590	500	670	840	100	420	400	350	320	690
T272	700	900	400	760	410	800	350	650	710	250
T273	400	420	760	390	810	620	450	240	980	250
T274	660	320	940	640	790	850	930	510	570	670
T275	640	230	520	650	290	600	450	610	890	460
T276	800	600	220	690	780	300	330	660	160	180
T277	390	300	870	170	930	460	300	230	100	540
T278	680	210	810	790	110	940	180	250	610	890
T279	760	510	920	240	190	100	660	340	500	680
T280	600	880	520	720	460	890	650	770	670	670
T281	270	770	790	330	910	870	700	620	670	740
T282	740	490	710	660	810	630	720	280	210	630
T283	650	780	240	120	470	200	950	380	750	680
T284	610	780	220	110	820	170	130	160	410	360
T285	740	750	170	890	800	830	200	730	920	110
T286	540	310	770	510	760	130	630	590	630	410
T287	990	880	780	640	810	910	560	800	720	560
T288	210	180	750	880	500	410	380	970	510	650
T289	730	680	480	860	940	470	860	270	370	290
T290	610	340	400	940	710	660	540	910	790	230
T291	850	320	650	430	570	380	250	100	570	610
T292	640	450	780	680	530	310	360	150	730	920
T293	150	890	450	680	620	190	180	710	250	760
T294	350	560	760	640	550	160	200	900	970	780
T295	590	360	430	620	620	610	520	990	680	810
T296	600	650	750	960	430	870	680	990	550	970
T297	780	700	570	280	580	240	920	970	990	460
T298	310	480	660	350	350	690	240	450	870	450
T299	190	690	580	420	360	930	980	120	280	200
T300	820	650	200	460	280	740	530	190	660	720
T301	960	990	340	690	230	770	170	630	260	630
T302	420	630	610	770	240	640	400	990	510	380
T303	270	740	370	520	370	520	620	700	900	360
T304	830	730	330	790	910	320	290	600	240	330
T305	640	200	560	690	280	930	400	960	860	590
T306	360	260	590	830	530	100	240	530	820	570
T307	640	430	540	280	590	340	880	490	710	980
T308	350	150	910	310	410	710	130	140	100	770
T309	730	290	150	420	740	520	670	330	150	950
