	A1	A2	A3	A4
T1	940	840	120	690
T2	450	840	480	510
T3	710	430	530	970
T4	980	500	750	390
T5	310	720	430	860
T6	570	780	980	720
T7	490	170	310	150
T8	740	870	760	550
T9	700	160	370	740
T10	800	500	920	380
T11	320	890	580	840
T12	680	780	710	910
T13	960	890	880	160
T14	920	840	500	820
T15	970	440	520	100
T16	460	400	760	540
T17	950	520	890	400
T18	690	150	540	830
T19	260	700	470	620
T20	890	690	780	830
T21	360	700	740	990
T22	150	280	500	190
T23	210	420	960	550
T24	710	550	380	950
