	A1	A2	A3	A4	A5	A6
T1	560	600	270	390	790	990
T2	190	300	170	770	840	350
T3	450	870	750	110	240	450
T4	410	790	840	810	180	290
T5	130	260	410	600	630	100
T6	800	190	940	780	190	710
T7	270	680	740	180	270	440
T8	530	290	450	550	870	740
T9	240	790	700	110	660	590
T10	840	850	700	410	960	470
T11	930	730	600	570	140	720
T12	730	310	880	420	280	270
T13	900	590	170	660	800	130
T14	270	200	860	880	510	510
T15	920	340	260	870	430	480
T16	550	960	910	590	350	810
T17	330	610	750	920	660	900
T18	810	930	100	670	480	240
T19	430	730	440	140	110	330
T20	190	850	320	620	420	670
T21	470	400	940	720	310	120
T22	880	520	310	160	610	280
T23	540	280	810	890	780	630
T24	860	140	410	950	380	420
