	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	910	250	500	700	470	860	330	670	540	200
T2	870	940	500	330	270	360	450	260	130	700
T3	570	170	300	490	770	360	710	350	100	220
T4	460	970	950	960	590	480	340	170	480	730
T5	880	910	440	190	500	190	650	740	420	510
T6	160	720	300	120	590	730	800	880	460	820
T7	500	800	290	510	210	350	260	620	440	680
T8	890	710	940	740	480	390	170	830	370	520
T9	100	660	930	360	870	890	190	540	590	720
T10	900	320	520	950	770	300	200	210	720	160
T11	830	710	470	640	320	300	480	870	940	660
T12	600	170	900	780	480	430	290	850	740	380
T13	320	280	820	460	100	550	850	220	150	750
T14	640	560	720	210	970	740	380	560	140	430
T15	510	680	140	970	630	180	440	700	480	150
T16	250	400	750	470	550	640	270	610	650	930
T17	340	840	350	450	660	650	240	940	440	230
T18	970	830	390	760	140	570	990	350	560	800
T19	590	650	880	270	170	940	880	110	260	430
T20	480	360	350	940	930	160	600	780	910	640
T21	250	290	560	520	170	340	490	360	550	930
T22	190	820	350	350	660	690	270	130	250	650
T23	240	170	530	460	130	170	890	150	250	950
T24	500	370	750	360	470	680	940	690	470	250
T25	850	830	920	730	220	260	930	780	770	290
T26	460	120	690	540	740	660	670	840	750	510
T27	520	900	550	660	420	220	940	580	980	490
T28	280	850	510	540	440	530	480	720	300	800
T29	230	670	730	410	150	750	670	940	960	790
T30	230	600	790	580	830	730	640	980	320	440
T31	380	180	440	330	110	520	530	210	580	760
T32	180	550	940	630	720	680	180	810	170	450
T33	100	570	430	410	110	450	550	200	470	230
T34	810	560	230	110	470	780	820	100	670	670
T35	740	140	670	600	970	240	220	750	430	890
T36	630	990	200	440	500	670	400	730	940	410
T37	550	640	700	590	710	340	390	480	220	550
T38	200	580	110	270	840	460	290	410	430	820
T39	500	260	480	240	110	680	320	150	970	960
T40	630	920	780	970	840	310	290	740	510	170
T41	740	240	250	730	440	460	990	220	850	100
T42	970	750	710	960	230	330	410	790	360	530
T43	680	740	650	910	120	840	140	130	820	790
