	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	220	600	110	180	990	490	570	640	120	400
T2	530	310	540	260	740	940	730	140	460	780
T3	830	320	100	790	690	470	390	740	630	170
T4	940	390	480	110	180	870	100	410	150	750
T5	200	600	680	420	440	150	110	620	590	890
T6	650	130	510	150	290	490	920	760	620	290
T7	440	370	950	740	340	740	100	640	180	780
T8	530	700	640	190	490	880	940	210	150	550
T9	820	460	360	110	600	990	810	670	980	850
T10	260	740	250	890	210	820	220	200	270	960
T11	130	920	620	110	440	120	780	770	910	190
T12	600	290	410	230	800	540	310	600	190	680
T13	640	520	690	550	960	460	480	830	660	520
T14	420	450	180	910	270	250	960	640	570	600
T15	420	440	560	340	360	320	690	570	420	580
T16	990	110	130	880	730	800	480	910	150	980
T17	820	900	640	990	930	830	240	390	740	830
T18	860	650	610	530	480	240	830	760	610	870
T19	110	380	480	920	850	960	290	100	910	420
T20	390	260	510	390	230	460	670	250	860	450
T21	190	430	750	100	940	600	580	350	500	330
T22	180	480	170	960	460	590	410	820	160	650
T23	980	790	140	510	630	150	470	850	590	510
T24	360	940	960	670	240	120	800	460	940	990
T25	510	780	580	310	650	890	220	390	620	220
T26	490	930	800	340	150	550	670	940	560	280
T27	950	700	560	900	100	280	100	260	550	110
T28	520	540	760	700	300	520	720	940	460	740
T29	610	260	680	690	350	630	990	860	570	190
T30	790	930	970	210	120	390	250	680	540	600
T31	180	480	660	310	460	520	220	150	600	730
T32	850	550	910	790	360	870	880	950	610	480
T33	370	500	460	550	240	710	480	170	330	770
T34	930	130	140	940	800	990	520	650	410	470
T35	740	290	750	790	250	410	400	340	480	630
T36	740	230	990	500	100	540	460	330	430	150
T37	500	770	420	890	670	960	660	530	420	740
T38	420	760	850	900	600	630	270	960	910	850
T39	970	690	540	300	640	440	390	200	710	400
T40	230	500	110	230	290	790	710	870	600	300
T41	710	190	420	500	500	360	870	510	800	830
T42	720	110	340	550	660	320	390	530	940	650
T43	860	200	730	770	640	480	420	430	400	870
T44	910	880	790	230	480	190	570	940	110	690
T45	390	480	700	670	620	270	490	730	630	680
T46	370	720	920	800	900	820	410	530	410	560
T47	330	810	140	690	950	260	850	450	550	930
T48	930	400	430	380	870	630	250	200	860	760
T49	900	340	620	260	440	440	550	520	360	390
T50	740	350	100	440	470	740	190	730	960	360
T51	710	980	840	910	670	740	530	440	620	950
T52	640	180	750	160	950	930	220	860	570	180
T53	170	100	850	750	340	100	540	350	580	790
T54	610	600	260	740	430	510	860	650	720	470
T55	500	490	440	820	310	330	210	400	520	880
T56	300	260	800	800	390	120	610	830	270	930
T57	710	720	630	320	650	870	140	760	850	270
T58	900	670	790	710	740	440	260	450	420	880
T59	510	320	120	180	830	320	960	750	430	290
T60	470	740	100	380	310	790	990	690	740	830
T61	450	600	280	410	880	620	200	610	420	290
T62	260	290	880	870	800	340	560	520	170	110
T63	400	920	640	370	970	320	810	600	590	410
T64	250	370	310	760	890	540	840	220	410	690
