	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	510	420	910	390	940	170	200	810	220	930
T2	260	610	380	750	760	400	690	970	830	470
T3	800	920	560	430	310	860	530	840	250	880
T4	440	350	250	120	980	600	550	130	600	350
T5	140	510	260	700	940	230	760	420	220	610
T6	340	480	360	940	110	150	680	500	630	730
T7	620	650	980	170	150	720	930	510	470	910
T8	310	670	360	470	610	920	240	720	380	190
T9	250	160	820	260	590	540	780	620	440	800
T10	270	920	990	610	230	560	490	720	610	310
T11	930	880	940	430	610	840	760	810	820	680
T12	560	890	570	740	570	920	590	880	160	370
T13	950	330	900	340	740	980	780	360	200	220
T14	900	530	450	910	690	240	670	620	130	670
T15	660	180	630	810	250	140	180	630	350	690
T16	310	630	310	920	640	750	470	650	650	890
T17	910	220	170	640	350	370	720	200	960	300
T18	670	660	540	150	140	260	600	970	120	940
T19	450	640	990	710	620	180	880	970	110	420
T20	910	970	890	350	110	170	970	550	330	650
T21	450	630	470	310	320	270	430	690	330	190
T22	130	160	470	740	750	610	690	580	430	880
T23	140	280	210	210	870	800	790	540	170	470
T24	510	740	380	250	470	680	230	570	870	730
T25	100	600	100	580	110	990	460	530	270	240
T26	390	670	470	540	460	500	140	120	180	660
T27	990	640	970	410	260	640	460	660	890	350
T28	270	260	290	590	320	220	140	430	960	520
T29	950	830	580	430	840	650	200	240	910	200
T30	520	930	540	790	720	880	610	490	190	310
T31	810	570	360	400	570	500	890	680	900	270
T32	530	630	210	320	490	680	190	130	470	210
T33	370	220	170	550	410	980	610	480	480	220
T34	530	710	820	630	280	490	970	170	320	730
T35	740	210	140	330	800	750	560	540	920	640
T36	440	430	720	770	870	690	400	670	280	950
T37	460	420	240	840	550	770	920	890	450	930
T38	570	370	850	120	400	910	850	560	670	120
T39	890	210	730	840	490	840	560	850	710	350
T40	840	990	780	990	410	500	160	190	390	740
T41	940	350	970	180	580	210	850	660	150	580
T42	810	270	160	810	330	120	290	890	680	990
T43	490	820	830	240	660	330	570	620	750	490
T44	500	790	850	380	150	550	870	420	750	370
T45	380	370	610	540	410	330	440	100	460	630
T46	460	650	190	790	610	690	900	470	990	850
T47	150	840	260	820	730	960	300	240	700	720
T48	220	200	490	140	660	590	760	630	370	850
