	A1	A2	A3	A4
T1	190	590	260	170
T2	550	340	470	610
T3	940	910	510	150
T4	280	600	230	900
T5	460	920	910	250
T6	680	650	900	980
T7	450	390	570	230
T8	170	350	160	360
T9	200	460	790	400
T10	510	860	530	750
T11	290	180	620	500
T12	300	940	480	910
T13	500	210	610	720
T14	970	670	290	610
T15	980	330	850	310
T16	760	690	950	160
T17	420	600	200	660
T18	940	640	260	600
T19	940	490	690	140
T20	600	290	880	110
T21	270	150	290	360
T22	720	650	900	950
T23	750	100	400	220
T24	100	270	360	450
