	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	920	400	660	870	810	510	730	670	160	120
T2	500	720	980	970	300	740	380	570	960	860
T3	850	260	910	590	140	150	810	820	420	170
T4	200	380	440	160	620	800	770	610	740	830
T5	710	170	920	560	890	310	820	800	160	530
T6	520	840	440	990	400	720	170	380	480	650
T7	680	530	340	340	980	540	560	440	690	240
T8	840	300	870	970	920	680	160	910	380	160
T9	290	870	580	270	550	550	920	440	240	340
T10	280	100	980	450	110	140	980	930	900	970
T11	820	850	780	690	520	330	150	410	440	300
T12	490	840	860	400	460	890	160	290	120	350
T13	870	790	870	770	260	430	730	470	940	980
T14	990	530	250	390	680	960	160	810	680	980
T15	280	300	310	550	570	620	180	680	120	170
T16	320	870	670	730	650	480	380	990	700	360
T17	790	490	890	940	610	190	620	800	500	440
T18	350	380	410	510	510	710	680	300	370	310
T19	360	250	270	570	490	740	370	800	710	990
T20	950	440	970	970	270	820	820	830	590	500
T21	700	800	710	870	680	250	860	760	320	830
T22	990	610	570	620	460	990	180	190	440	150
T23	860	740	390	580	390	290	570	620	310	720
T24	540	190	920	910	390	320	960	410	970	910
T25	670	700	680	470	490	580	980	390	970	530
T26	880	440	290	700	550	960	610	570	310	340
T27	340	340	670	410	760	250	310	370	870	500
T28	970	170	160	270	400	580	820	670	910	650
T29	120	100	280	860	830	670	660	100	310	940
T30	910	840	180	560	110	640	190	290	220	260
T31	450	350	350	570	300	670	150	400	790	280
T32	890	260	690	770	910	470	180	830	580	530
T33	250	190	490	900	960	180	530	250	230	730
T34	400	470	880	570	890	980	330	320	750	270
T35	510	940	980	400	910	500	790	200	580	220
T36	130	430	410	170	610	450	110	310	610	830
T37	400	120	100	840	910	900	280	970	960	230
T38	890	950	460	670	530	920	290	610	320	300
T39	430	980	790	250	670	190	180	840	820	950
T40	530	110	140	770	710	490	830	680	190	470
T41	740	810	470	560	180	230	410	740	810	650
T42	880	160	230	330	600	640	110	480	100	450
T43	730	990	720	480	860	160	310	780	320	620
T44	430	750	680	340	940	600	660	800	830	220
T45	490	240	470	960	350	210	130	340	580	640
T46	870	570	830	270	640	300	830	280	630	850
T47	600	810	840	740	210	430	330	110	180	710
T48	690	520	530	170	340	880	410	740	710	330
T49	810	600	530	940	580	840	150	310	780	860
T50	540	500	920	840	310	490	410	600	240	300
T51	890	290	910	960	200	270	310	850	330	700
T52	670	350	880	390	270	210	150	550	740	710
T53	790	920	250	920	700	580	790	270	610	530
T54	750	250	760	300	520	330	670	670	610	290
T55	850	690	280	950	330	390	150	530	820	660
T56	530	870	340	300	540	450	280	940	910	700
T57	340	730	700	320	460	700	900	620	980	800
T58	570	880	870	250	940	530	590	470	490	110
T59	810	290	240	350	180	280	190	960	530	500
T60	220	200	340	710	960	370	830	910	650	170
T61	570	660	690	880	610	220	590	700	850	930
T62	240	760	720	530	690	120	450	270	640	270
T63	620	330	430	450	550	190	300	820	100	200
T64	460	800	120	490	880	740	720	690	290	850
T65	500	230	380	470	840	950	470	680	330	430
T66	180	260	910	540	590	510	200	440	320	170
T67	150	970	650	390	270	420	410	590	830	570
T68	680	760	190	430	490	550	130	860	360	730
T69	920	540	220	660	830	550	820	160	840	540
T70	140	990	220	520	600	160	650	950	290	930
T71	520	470	720	470	910	790	290	750	860	890
T72	630	490	510	390	410	350	760	760	740	670
T73	930	970	700	270	630	920	260	510	570	300
T74	520	350	890	860	810	640	390	310	450	730
T75	830	810	610	150	430	740	420	900	140	130
T76	960	340	100	870	320	850	390	450	770	840
T77	210	890	630	690	260	140	390	760	390	560
T78	370	900	520	690	810	770	320	170	860	350
T79	990	250	560	980	770	760	450	150	950	730
T80	560	580	150	410	300	370	520	310	700	900
T81	550	880	150	960	370	230	450	370	120	870
T82	310	380	200	360	340	590	470	880	210	600
T83	970	600	470	890	140	410	130	120	440	370
T84	430	690	240	210	450	150	910	180	930	330
T85	640	140	890	380	980	620	170	710	770	800
T86	890	780	730	410	920	970	320	520	780	640
T87	960	600	460	910	710	340	660	950	630	970
T88	510	660	770	300	250	640	880	760	270	480
T89	580	680	910	170	380	950	220	780	120	630
T90	790	590	600	350	720	970	630	520	980	270
T91	440	200	360	930	170	130	950	200	970	950
T92	810	100	700	290	590	170	480	250	220	150
T93	170	690	720	170	560	470	870	900	920	840
T94	940	200	700	790	980	230	240	890	150	680
T95	330	820	750	610	320	390	120	420	370	250
T96	360	560	790	650	160	920	290	300	270	630
T97	840	800	340	680	580	130	920	750	940	350
T98	970	260	230	530	460	750	630	770	290	600
T99	460	750	940	460	410	930	480	460	580	490
T100	300	600	250	340	650	970	870	900	570	330
T101	740	280	110	100	910	800	610	920	880	680
T102	550	790	450	220	330	110	250	750	900	460
T103	160	750	180	110	930	540	520	650	360	390
T104	910	260	820	430	860	990	490	490	670	520
T105	120	880	980	380	580	980	530	410	350	710
T106	830	170	320	190	640	920	860	570	200	950
T107	890	630	810	530	800	740	490	780	210	610
T108	910	890	280	520	630	160	340	980	550	390
T109	370	470	460	200	910	500	850	610	650	750
T110	460	220	340	800	350	860	890	430	190	220
T111	690	360	550	210	860	240	500	480	500	740
T112	700	620	520	950	260	710	390	790	750	530
T113	480	520	930	170	530	740	880	190	220	230
T114	450	890	720	310	140	600	400	950	160	360
T115	980	670	970	990	710	400	330	630	570	440
T116	230	700	560	500	480	840	140	860	750	820
T117	460	920	990	110	660	900	710	670	710	410
T118	680	440	910	640	990	940	450	360	380	860
T119	290	930	160	940	590	480	120	620	420	540
T120	720	940	860	160	790	310	440	410	730	280
T121	350	890	130	390	330	480	200	290	400	440
T122	450	460	150	800	600	360	200	400	680	900
T123	170	720	860	120	270	720	930	720	250	640
T124	430	790	830	920	610	770	470	910	160	450
T125	180	530	610	190	490	380	970	130	640	240
T126	730	790	350	610	880	120	330	650	430	990
T127	610	780	650	660	890	690	700	460	160	380
T128	930	500	340	300	480	140	190	450	130	640
T129	610	930	560	610	970	520	180	250	580	840
T130	440	800	240	580	770	770	910	280	250	850
T131	680	750	130	400	660	650	260	750	450	690
T132	330	980	940	790	330	640	910	310	620	770
T133	620	510	750	820	690	670	430	140	260	120
T134	350	280	630	710	130	100	400	720	960	630
T135	520	580	960	970	170	110	140	960	870	330
T136	250	650	230	750	850	190	570	680	710	410
T137	590	320	110	560	780	990	960	240	900	380
T138	280	970	500	970	990	730	670	690	410	970
T139	380	390	800	190	350	910	440	310	340	350
T140	890	890	800	200	160	190	960	880	690	700
T141	150	840	280	290	800	210	270	540	260	450
T142	470	720	350	860	720	460	910	350	980	540
T143	160	330	680	220	210	650	990	280	960	700
T144	390	980	620	270	860	570	200	320	820	340
T145	110	880	950	490	790	820	420	640	570	720
T146	600	160	640	380	670	920	820	210	920	950
T147	430	450	950	130	630	240	690	250	150	210
T148	560	610	700	800	790	550	680	290	340	110
T149	670	220	360	770	880	980	500	780	900	540
T150	540	370	910	210	790	460	530	340	760	950
T151	260	660	180	500	970	280	290	120	790	970
T152	680	270	790	830	760	750	890	930	620	380
T153	260	190	310	490	350	530	640	960	610	130
T154	950	490	520	720	700	290	420	760	890	950
T155	490	910	530	590	980	500	930	310	590	630
T156	360	760	540	720	230	450	660	380	320	910
T157	810	800	840	650	950	830	620	520	340	450
T158	910	670	760	670	700	290	710	490	550	690
T159	900	350	420	860	220	380	700	260	280	550
T160	880	950	240	940	790	880	600	160	950	890
T161	440	330	720	760	780	420	700	900	550	420
T162	410	890	490	360	870	910	790	660	940	310
T163	650	890	100	190	710	890	420	860	120	230
T164	480	390	470	170	250	310	630	570	960	520
T165	800	370	440	570	420	480	760	880	600	400
T166	480	480	560	830	600	710	710	640	350	700
T167	590	390	350	770	850	530	410	120	230	410
T168	980	360	680	640	500	260	410	230	720	230
T169	420	760	250	930	660	540	600	790	650	790
T170	610	550	520	520	140	700	460	800	100	600
T171	200	590	120	210	130	870	440	470	300	940
T172	600	180	230	110	190	300	880	450	830	720
T173	560	390	980	750	170	390	490	240	810	880
T174	180	200	960	860	270	530	610	360	200	970
T175	230	130	960	120	370	650	150	340	720	230
T176	730	660	170	100	440	530	700	140	680	100
T177	520	850	830	300	360	840	860	210	440	500
T178	250	160	750	910	760	430	130	750	190	950
T179	620	400	780	270	760	440	390	500	400	980
T180	220	440	220	840	560	510	260	170	360	970
T181	490	450	710	100	930	410	370	310	950	410
T182	220	290	730	320	340	220	350	920	180	290
T183	950	190	100	100	210	300	960	320	890	420
T184	320	650	880	210	400	200	620	670	900	480
T185	530	520	280	680	230	370	770	230	280	700
T186	190	900	270	700	390	560	240	280	720	530
T187	900	700	510	640	190	190	300	910	640	360
T188	170	900	580	120	100	480	560	150	240	190
T189	980	470	270	280	720	730	580	530	450	380
T190	440	130	230	790	650	800	140	190	720	940
T191	190	570	980	220	440	350	530	200	440	770
T192	950	810	820	550	570	840	820	620	690	160
T193	310	900	770	640	410	790	450	670	260	390
T194	300	270	250	270	710	300	490	290	970	930
T195	210	300	360	760	300	490	450	540	320	630
T196	880	100	340	140	460	960	440	720	440	330
T197	550	410	590	980	420	830	990	490	310	540
T198	290	780	850	100	670	960	930	250	300	340
T199	410	670	540	850	600	410	390	570	950	460
T200	910	120	260	810	720	920	300	240	720	760
T201	320	430	350	330	190	630	170	960	840	770
T202	680	820	220	890	710	380	600	510	520	100
T203	490	900	380	110	300	640	890	140	380	490
T204	700	820	170	910	570	500	630	980	550	810
T205	350	890	600	640	910	690	760	400	590	550
T206	810	990	940	420	970	960	670	360	600	590
T207	780	320	320	330	860	250	500	330	240	520
T208	990	710	370	800	290	690	780	620	980	140
T209	920	430	200	520	240	350	200	640	470	820
T210	730	300	240	640	820	770	950	920	320	610
T211	430	150	570	960	270	420	580	140	910	180
T212	410	250	370	340	140	280	590	160	110	900
T213	630	160	710	170	230	880	390	970	720	400
T214	530	110	660	420	230	730	330	890	130	110
T215	950	720	510	670	560	600	220	760	660	600
T216	870	210	650	950	830	310	380	550	730	210
T217	350	840	200	580	790	710	250	830	820	920
T218	530	390	660	540	360	170	900	590	220	600
T219	290	320	250	130	830	700	140	530	600	620
T220	690	280	850	760	980	730	160	200	980	190
T221	820	920	620	160	890	880	700	450	750	510
T222	400	820	110	610	300	450	510	320	700	170
T223	360	200	250	930	790	950	600	280	320	170
T224	640	920	350	140	780	630	780	440	530	560
T225	530	350	450	290	400	440	630	840	430	920
T226	920	170	950	690	950	740	180	200	250	500
T227	140	220	330	850	890	890	120	790	200	200
T228	550	610	310	410	700	630	790	790	840	160
T229	570	320	440	670	770	940	360	830	450	100
T230	330	590	520	490	360	280	800	730	110	130
T231	510	240	720	580	770	880	810	410	970	570
T232	150	630	620	790	350	520	920	310	780	880
T233	360	210	460	370	200	670	950	370	910	190
T234	760	520	710	250	380	810	260	370	830	970
T235	540	100	930	520	600	860	140	610	660	740
T236	420	220	810	960	670	720	690	490	910	220
T237	850	430	950	500	450	840	660	180	910	260
T238	390	730	220	340	470	470	580	320	310	120
T239	390	100	360	600	630	940	590	780	820	370
T240	180	490	920	540	920	730	800	750	930	670
T241	190	820	150	300	990	720	150	330	580	450
T242	620	790	640	430	840	950	270	410	510	270
T243	940	440	990	440	430	300	230	740	990	380
T244	710	900	110	430	870	870	510	200	360	770
T245	220	150	880	830	790	400	680	320	490	700
T246	590	390	850	660	140	570	680	630	270	410
T247	140	560	860	120	370	300	860	780	880	640
T248	260	240	210	810	880	240	570	930	740	180
T249	560	500	320	490	820	760	760	990	550	550
T250	530	980	180	700	670	320	380	900	340	730
T251	520	230	910	880	450	800	210	480	110	980
T252	870	690	720	740	950	330	120	800	470	920
T253	150	390	510	870	280	480	990	190	460	590
T254	980	950	680	710	760	520	350	860	330	520
T255	490	580	890	290	780	120	380	300	290	170
T256	600	300	840	980	110	990	240	540	920	690
T257	140	700	470	600	620	940	840	250	680	410
