	A1	A2	A3	A4	A5
T1	550	980	420	240	190
T2	160	230	250	470	220
T3	600	300	350	340	510
T4	720	960	190	810	310
T5	860	370	630	920	920
T6	900	910	830	590	860
T7	240	710	450	580	450
T8	900	940	440	840	890
T9	560	180	470	610	840
T10	790	590	560	660	860
T11	750	270	660	910	470
T12	120	980	640	960	310
T13	970	270	970	980	680
T14	210	520	960	640	910
T15	320	270	430	160	110
T16	580	890	680	710	940
T17	340	350	500	840	830
T18	570	580	630	330	170
T19	100	540	430	450	760
T20	720	590	280	300	340
T21	790	990	570	620	360
T22	220	810	560	300	660
T23	690	200	500	710	990
T24	250	530	630	230	460
T25	140	680	890	770	540
T26	260	390	260	680	870
T27	180	660	190	960	800
T28	220	890	700	290	570
T29	640	830	920	100	690
T30	390	440	210	790	720
T31	130	980	330	900	940
T32	750	630	970	650	410
T33	700	200	240	390	600
T34	420	610	620	970	940
T35	460	300	360	740	290
T36	830	110	590	390	140
T37	260	780	510	750	740
T38	560	850	260	910	370
T39	540	280	960	350	570
T40	640	600	570	330	700
T41	340	480	910	410	640
T42	820	960	150	210	370
T43	520	900	550	760	300
T44	470	760	820	370	830
T45	730	940	660	890	700
T46	700	730	320	390	320
T47	650	670	470	130	830
T48	700	600	530	580	850
T49	370	720	840	200	890
T50	280	470	290	420	370
T51	550	120	310	110	890
T52	670	540	950	190	210
T53	920	930	510	390	710
T54	690	620	580	790	380
T55	560	440	970	310	960
T56	520	710	500	640	110
T57	740	410	150	410	120
T58	550	570	760	100	610
T59	290	770	460	740	240
T60	970	360	280	300	240
T61	440	720	730	610	380
T62	970	270	580	680	250
T63	410	320	520	240	210
T64	310	880	730	490	970
T65	930	350	540	280	110
T66	180	590	560	990	780
T67	510	860	360	730	200
T68	520	220	720	470	700
T69	880	400	820	700	920
T70	430	350	340	330	960
T71	250	560	580	800	860
T72	910	900	810	440	480
T73	780	970	750	910	990
T74	940	720	980	320	100
T75	670	810	290	560	100
T76	270	390	160	800	570
T77	980	800	240	160	950
T78	280	260	470	540	680
T79	950	220	210	690	230
T80	760	910	460	870	920
T81	290	790	230	140	820
T82	220	610	140	290	660
T83	510	640	460	370	220
T84	820	910	370	630	380
T85	270	620	270	990	770
T86	590	630	430	860	200
T87	960	410	480	510	910
T88	470	210	890	880	390
T89	150	490	910	590	530
T90	490	970	460	330	100
T91	940	670	480	340	170
T92	730	230	480	570	620
T93	370	210	160	380	940
T94	470	680	790	480	570
T95	580	990	140	300	640
T96	660	470	330	100	510
T97	100	610	740	130	720
T98	470	810	630	990	790
T99	990	600	740	860	900
T100	920	910	500	120	670
T101	600	620	610	370	280
T102	650	940	180	990	170
T103	240	320	450	800	270
T104	360	370	270	550	570
T105	380	390	110	900	960
T106	880	760	360	180	100
T107	940	360	700	730	140
T108	650	260	490	740	380
T109	430	480	750	970	550
T110	360	300	760	600	560
T111	690	380	560	670	960
T112	520	680	880	340	410
T113	170	340	650	210	520
T114	940	310	850	920	440
T115	460	880	140	700	830
T116	860	180	720	170	270
T117	620	890	980	950	130
T118	910	220	810	800	950
T119	890	210	970	670	470
T120	750	990	280	240	660
T121	850	880	270	860	160
T122	220	780	250	970	500
T123	630	270	670	920	360
T124	400	430	660	270	220
T125	640	250	900	430	520
T126	780	390	260	460	810
T127	440	150	130	880	890
T128	910	340	560	190	290
T129	530	420	370	160	770
T130	540	570	930	760	340
T131	350	460	490	460	130
T132	410	660	220	440	860
T133	920	320	590	510	560
T134	810	950	550	600	720
T135	240	800	400	750	170
T136	460	260	920	360	700
T137	890	960	350	200	140
T138	240	370	600	200	840
T139	990	140	950	940	460
T140	460	840	560	980	200
T141	960	950	910	220	820
T142	130	250	690	550	800
T143	420	480	800	710	680
T144	560	200	140	320	830
T145	340	360	100	970	760
T146	510	770	160	770	650
T147	710	890	730	500	780
T148	310	340	940	860	850
T149	470	490	360	560	160
T150	820	570	520	560	650
T151	280	850	490	530	580
T152	610	240	360	930	570
T153	280	310	560	660	410
T154	550	380	490	490	650
T155	980	240	420	960	200
T156	600	250	100	400	390
T157	980	450	250	190	570
T158	520	290	720	290	530
T159	470	990	430	270	620
T160	590	100	440	340	170
T161	360	790	400	870	480
T162	670	440	530	920	470
T163	640	640	880	810	920
T164	380	190	730	860	170
T165	210	610	710	100	560
T166	160	960	380	190	990
T167	220	380	110	640	750
T168	380	490	230	990	360
T169	940	280	540	660	210
T170	640	150	380	860	850
T171	470	140	660	940	270
T172	790	270	480	180	970
T173	970	810	800	580	390
T174	840	850	640	620	820
T175	330	850	260	790	830
T176	240	290	330	490	310
T177	870	920	730	510	880
T178	150	690	300	500	860
T179	500	600	610	340	200
T180	440	480	830	530	270
T181	100	390	680	520	860
T182	210	680	970	320	870
T183	940	820	400	840	820
T184	150	440	180	610	850
T185	380	440	830	860	240
T186	290	270	630	800	670
T187	710	310	370	880	890
T188	900	720	270	410	490
T189	260	790	640	570	440
T190	470	400	490	240	200
T191	490	440	950	740	820
T192	320	850	810	370	650
T193	730	840	200	680	780
T194	410	770	110	610	750
T195	600	240	370	180	440
T196	450	680	900	370	380
T197	650	180	670	600	560
T198	390	470	420	630	220
T199	150	590	840	980	450
T200	220	190	220	850	260
T201	280	480	610	930	370
T202	690	850	810	900	460
T203	340	560	700	280	670
T204	780	220	300	930	550
T205	260	730	920	390	200
T206	410	220	230	270	990
T207	320	200	860	810	930
T208	270	620	460	830	130
T209	110	850	390	820	920
T210	440	350	340	340	480
T211	180	570	640	830	940
T212	430	220	210	280	160
T213	420	950	930	190	660
T214	170	250	380	260	790
T215	850	250	520	900	800
T216	550	480	690	790	640
T217	220	740	870	160	770
T218	320	170	750	580	540
T219	250	700	450	260	580
T220	700	170	990	370	150
T221	490	890	290	490	460
T222	460	610	620	670	150
T223	220	160	500	170	580
T224	620	680	160	280	520
T225	480	560	410	190	720
T226	370	220	430	190	250
T227	410	850	380	740	320
T228	670	900	160	730	720
T229	980	740	550	580	620
T230	390	390	680	660	590
T231	770	110	170	880	780
T232	540	630	270	690	140
T233	790	280	930	100	910
T234	100	260	350	650	760
T235	950	970	960	930	310
T236	290	830	110	760	880
T237	620	230	610	330	250
T238	520	800	200	700	380
T239	810	830	190	520	890
T240	890	230	690	960	260
T241	910	400	650	700	920
T242	580	840	260	260	110
T243	720	120	240	150	610
T244	920	690	340	680	100
T245	740	990	860	710	500
