	A1	A2	A3	A4
T1	160	770	210	930
T2	570	910	170	880
T3	290	680	970	220
T4	700	400	600	590
T5	470	580	240	940
T6	380	850	130	130
T7	330	690	430	130
T8	480	600	230	680
T9	420	310	240	230
T10	120	690	200	800
T11	960	310	390	440
T12	730	500	350	810
T13	230	120	470	770
T14	970	530	690	260
T15	120	150	920	200
T16	690	510	490	160
T17	350	960	180	460
T18	440	520	280	400
T19	420	860	690	250
T20	900	380	950	510
T21	470	960	630	120
T22	660	770	880	190
T23	160	650	220	940
T24	880	200	130	110
T25	150	120	110	150
T26	130	500	180	430
T27	410	300	500	770
T28	170	820	770	510
T29	530	310	480	520
T30	370	460	640	520
T31	400	670	690	950
T32	410	780	850	990
