	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	110	950	880	780	410	330	530	340	730	200
T2	170	540	370	470	990	910	790	570	680	140
T3	900	880	100	880	290	540	100	770	190	170
T4	950	540	170	970	640	890	270	330	140	280
T5	200	220	390	370	900	910	400	970	930	180
T6	970	760	900	120	890	260	570	610	980	600
T7	900	740	980	540	110	600	680	670	180	790
T8	630	880	960	350	800	290	190	570	330	300
T9	710	880	620	610	910	560	210	250	800	760
T10	140	300	180	890	630	680	710	740	380	500
T11	670	680	870	410	720	760	490	910	330	410
T12	750	160	290	300	590	140	520	620	350	350
T13	230	830	190	380	940	370	180	650	170	790
T14	180	170	970	920	460	320	790	340	410	700
T15	790	400	410	950	440	120	790	580	240	150
T16	580	410	500	380	840	150	170	450	460	790
T17	940	750	240	750	240	910	590	600	570	440
T18	590	780	750	110	800	980	420	360	470	780
T19	110	680	210	650	990	390	290	740	470	620
T20	710	330	980	810	900	490	730	390	810	630
T21	400	830	490	890	270	410	630	690	340	560
T22	720	440	900	340	790	870	980	450	150	670
T23	380	250	110	740	610	860	350	960	930	590
T24	660	660	770	740	380	430	720	210	190	530
T25	750	710	450	870	810	780	990	210	550	580
T26	950	840	460	930	430	190	260	310	740	820
T27	160	990	500	440	650	750	500	790	160	960
T28	110	760	100	750	140	700	110	200	530	870
T29	290	290	910	610	330	310	190	610	890	330
T30	960	410	200	150	720	630	530	610	640	300
T31	310	490	900	870	810	210	290	900	140	270
T32	680	280	450	240	920	510	910	820	990	320
T33	590	640	110	740	580	220	730	240	880	310
T34	310	490	830	720	130	190	750	730	750	850
T35	180	690	970	350	190	920	200	980	990	450
T36	210	160	330	100	790	770	870	830	470	540
T37	680	690	510	420	830	570	310	820	720	700
T38	370	280	740	400	900	890	460	920	110	790
T39	310	930	260	950	980	560	820	400	900	870
T40	610	210	270	180	820	490	410	520	510	730
T41	480	300	760	650	390	490	390	540	190	940
T42	320	230	850	180	460	370	890	210	570	180
T43	750	370	130	160	190	530	260	910	580	750
T44	500	980	420	120	750	200	820	630	750	500
T45	900	100	910	630	930	760	470	470	590	780
T46	160	260	430	430	410	950	190	520	790	110
T47	230	430	990	260	630	560	340	860	650	820
T48	730	180	780	860	140	800	950	670	650	400
T49	870	170	640	520	600	440	980	210	420	850
T50	930	130	150	910	390	760	650	820	380	470
T51	280	130	900	860	930	680	350	930	620	120
T52	110	440	880	690	300	430	360	730	940	620
T53	510	390	710	730	900	260	210	130	640	770
T54	580	660	860	510	730	170	170	290	780	990
T55	420	260	870	670	970	130	880	740	540	610
T56	980	460	750	890	480	140	920	900	670	690
T57	130	960	230	660	700	200	800	670	690	810
T58	750	690	570	600	820	210	230	730	190	620
T59	130	990	790	830	340	360	440	660	340	780
T60	260	200	200	230	700	860	420	340	740	630
T61	530	800	390	960	490	370	330	240	280	410
T62	140	570	330	780	950	520	800	510	850	200
T63	510	950	530	340	350	690	330	680	650	810
T64	660	420	830	660	500	640	450	740	430	920
