	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	240	140	440	910	240	160	530	500	920	520
T2	820	430	150	460	540	610	770	390	470	780
T3	820	480	760	300	900	380	320	500	240	740
T4	430	100	320	950	390	330	690	590	120	810
T5	350	830	990	570	310	760	270	270	370	880
T6	270	610	220	980	530	270	840	490	630	580
T7	470	250	590	320	390	100	980	520	850	490
T8	600	850	120	490	410	560	600	620	660	750
T9	930	660	560	860	200	760	900	540	460	680
T10	450	730	120	980	440	890	520	150	310	710
T11	910	960	930	930	200	950	290	490	630	150
T12	920	170	840	390	530	590	780	380	630	240
T13	200	310	370	270	770	290	390	380	490	370
T14	260	370	550	350	440	850	260	260	270	770
T15	300	890	760	310	200	150	640	210	300	730
T16	770	260	380	510	370	840	240	740	810	700
T17	880	460	200	610	230	870	650	530	510	750
T18	810	800	890	840	300	900	840	970	510	880
T19	440	690	600	820	570	290	990	420	900	410
T20	940	990	400	490	500	570	900	560	850	560
T21	380	330	120	290	510	540	290	290	470	280
T22	270	950	210	250	770	100	440	600	410	120
T23	540	650	680	740	660	770	770	590	430	170
T24	610	980	280	220	310	120	760	690	180	720
T25	290	320	310	460	100	860	120	250	130	990
T26	230	640	540	230	330	770	620	670	150	320
T27	190	250	980	380	860	590	860	820	580	720
T28	710	780	420	490	600	500	570	650	320	600
T29	630	460	170	700	220	430	730	240	660	700
T30	770	590	110	780	250	580	880	180	230	840
T31	570	160	960	800	430	550	620	700	290	600
T32	400	170	580	130	660	610	320	220	460	980
T33	940	770	590	900	340	850	520	690	830	970
T34	300	300	880	870	170	200	560	430	820	590
T35	330	340	720	490	650	660	430	750	280	710
T36	700	810	190	490	340	920	870	500	880	570
T37	160	890	840	300	620	750	660	650	810	950
T38	900	660	770	710	640	210	790	790	200	540
T39	380	750	230	690	530	530	210	160	770	110
T40	180	260	560	390	620	210	380	970	590	520
T41	250	360	910	920	230	160	550	220	630	350
T42	240	640	350	540	880	840	780	540	170	570
T43	140	830	110	300	180	490	390	960	700	940
T44	690	750	680	280	370	320	880	800	110	370
T45	610	300	180	680	920	970	510	460	830	650
T46	590	340	830	820	630	890	310	460	840	290
T47	240	150	910	840	510	710	510	390	330	130
T48	710	660	170	360	980	240	530	130	770	700
