	A1	A2	A3	A4	A5	A6
T1	330	600	650	350	490	220
T2	610	910	220	970	950	330
T3	200	130	140	550	530	480
T4	380	220	960	480	110	620
T5	870	900	920	970	240	540
T6	890	150	820	290	540	430
T7	750	210	700	510	400	810
T8	150	580	700	390	900	760
T9	690	770	480	340	820	840
T10	920	600	880	560	790	660
T11	200	230	120	190	180	490
T12	140	280	120	200	390	310
T13	630	270	830	510	200	470
T14	530	320	440	530	830	670
T15	190	980	880	160	600	150
T16	570	800	340	420	720	550
T17	120	280	620	280	960	120
T18	750	440	270	160	460	760
T19	320	130	140	670	620	600
T20	880	470	450	820	280	740
T21	800	130	920	340	190	550
T22	160	360	460	980	880	800
T23	900	710	770	990	840	130
T24	250	960	180	420	960	440
T25	780	230	140	350	960	370
T26	130	180	240	110	680	370
T27	340	250	460	730	450	530
T28	930	850	540	710	490	370
T29	440	550	770	650	720	500
T30	540	580	210	500	550	160
T31	190	390	850	560	860	510
T32	490	880	740	260	120	260
T33	900	450	560	420	850	530
T34	730	610	450	700	860	400
T35	950	250	140	690	710	750
T36	250	520	160	450	750	400
T37	220	890	400	130	470	560
T38	480	320	730	310	600	170
T39	670	820	530	170	970	400
T40	890	610	610	130	470	360
T41	210	560	700	970	710	580
T42	290	290	420	500	520	840
T43	640	720	210	660	780	490
T44	700	630	160	370	560	130
T45	550	940	940	490	830	760
T46	240	480	210	800	360	930
T47	560	930	710	310	590	830
T48	430	200	150	900	480	450
