	A1	A2	A3	A4	A5	A6
T1	770	700	980	860	500	190
T2	300	930	200	640	870	740
T3	490	760	140	390	500	370
T4	790	200	490	340	690	330
T5	680	180	530	320	240	560
T6	590	970	830	350	480	550
T7	570	740	180	330	450	700
T8	730	100	740	270	860	120
T9	110	440	520	390	280	480
T10	610	190	270	370	460	890
T11	300	920	260	710	320	710
T12	870	330	140	290	370	100
T13	750	890	920	420	410	750
T14	660	510	970	570	540	590
T15	840	530	760	330	430	790
T16	750	550	120	360	140	680
T17	850	310	800	110	230	100
T18	360	110	150	560	320	220
T19	550	420	570	140	180	720
T20	150	920	240	530	890	340
T21	480	770	730	860	540	560
T22	380	430	920	430	300	440
T23	510	750	810	580	410	550
T24	580	470	140	380	380	740
T25	390	390	240	990	190	650
T26	180	200	120	660	570	150
T27	900	390	200	380	900	190
T28	440	930	530	160	290	710
T29	540	110	410	450	680	810
T30	360	840	950	780	570	940
T31	620	150	630	160	210	170
T32	650	560	180	370	100	630
T33	470	900	820	590	540	830
T34	610	730	460	710	310	560
T35	240	350	520	260	810	790
T36	540	470	180	640	140	520
T37	210	210	920	360	980	690
T38	810	920	630	650	400	710
T39	360	470	590	410	750	990
T40	980	840	110	650	710	980
T41	100	370	720	340	330	510
T42	150	820	540	970	540	230
T43	520	690	120	360	540	870
T44	850	800	460	200	260	100
T45	680	510	750	920	500	170
T46	760	190	790	710	870	380
T47	230	690	380	200	720	940
T48	410	540	920	390	240	630
T49	640	150	480	190	730	680
T50	990	350	890	860	650	390
T51	170	230	790	580	740	870
T52	470	520	860	190	960	300
T53	870	350	650	720	970	730
T54	110	960	340	440	860	590
T55	880	110	350	490	610	500
T56	800	480	670	730	380	270
T57	710	110	350	670	760	190
T58	140	940	230	840	330	390
T59	150	850	290	260	820	990
T60	110	270	720	730	380	720
T61	510	130	610	200	690	320
T62	320	560	440	410	120	330
T63	430	640	940	820	540	560
T64	840	980	710	350	410	830
T65	200	970	510	310	380	660
T66	550	560	150	600	810	180
T67	480	410	800	630	560	190
T68	470	670	110	550	490	800
T69	770	990	480	450	390	670
T70	460	440	780	110	900	990
T71	850	600	770	490	770	190
T72	170	760	560	160	820	330
T73	170	120	400	970	870	270
T74	940	760	870	720	440	890
T75	410	820	600	890	440	120
T76	200	700	590	740	720	210
T77	660	960	440	560	400	660
T78	550	510	960	250	890	840
T79	190	840	520	170	360	160
T80	680	660	600	910	810	250
T81	550	300	600	590	620	190
T82	520	110	160	980	310	780
T83	460	200	350	730	620	400
T84	140	110	580	820	200	250
T85	930	660	230	380	140	760
T86	540	200	820	850	430	990
T87	430	210	480	280	210	480
T88	370	570	880	750	850	880
T89	200	920	580	120	630	530
T90	490	780	800	440	300	590
T91	210	620	690	680	160	740
T92	590	950	400	980	950	690
T93	290	990	610	500	250	100
T94	220	320	230	670	280	420
T95	530	180	610	440	470	930
T96	760	920	410	570	800	910
