	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T1	380	820	880	290	630	270	450	180	670	910	480	430	450	200
T2	960	800	430	450	710	360	630	730	580	250	270	790	320	690
T3	360	130	250	570	740	950	640	790	830	520	840	310	520	990
T4	510	180	500	950	800	670	860	940	800	380	140	300	480	700
T5	790	670	670	380	980	370	260	960	640	360	490	660	730	840
T6	670	820	120	610	840	590	290	560	280	690	600	950	940	660
T7	700	290	240	700	980	440	580	620	130	100	780	780	920	920
T8	460	930	200	520	170	320	140	780	100	460	230	570	210	560
T9	490	440	360	660	930	150	980	970	220	930	380	120	540	170
T10	370	710	460	190	530	920	420	840	150	560	680	580	280	180
T11	170	970	270	360	920	150	520	380	120	310	410	330	740	600
T12	950	390	770	590	810	430	680	760	270	420	160	730	670	150
T13	990	490	650	340	950	420	430	790	130	870	570	580	900	820
T14	440	330	200	350	740	860	350	150	130	890	480	290	140	890
T15	600	340	490	380	510	280	860	540	390	500	960	340	230	390
T16	240	350	890	850	460	280	740	370	830	590	220	640	850	150
T17	470	880	920	600	280	100	400	760	890	230	520	650	570	210
T18	510	310	430	140	250	810	920	180	190	790	930	110	780	220
T19	880	750	330	110	660	360	410	220	900	960	680	300	460	400
T20	700	400	160	500	890	220	640	990	200	330	980	120	280	220
T21	870	910	240	490	720	220	920	900	120	400	110	780	620	820
T22	440	790	490	360	280	680	270	710	990	120	730	360	420	570
T23	500	390	710	850	130	960	470	450	510	590	800	360	440	350
T24	790	220	600	430	420	890	550	200	500	340	520	640	530	200
T25	750	710	240	430	580	320	370	580	200	470	280	510	720	240
T26	380	490	350	690	770	360	280	820	490	800	400	410	470	360
T27	780	960	740	920	230	940	920	820	220	200	760	920	700	250
T28	100	990	930	170	770	430	870	800	930	900	570	150	720	120
T29	510	370	460	190	190	430	130	890	990	860	750	870	390	980
T30	250	700	540	250	640	840	230	550	700	390	640	980	390	900
T31	630	100	540	290	120	300	410	540	800	810	670	550	870	220
T32	550	470	360	860	520	570	520	410	970	990	870	550	350	300
T33	100	160	430	400	790	140	880	340	100	850	810	490	960	610
T34	220	340	840	660	970	640	360	950	440	870	290	650	880	330
T35	360	490	240	180	450	450	120	150	890	560	150	630	690	320
T36	430	150	710	650	700	230	870	940	750	270	180	290	720	950
T37	510	750	290	960	770	530	890	410	170	830	670	720	710	250
T38	580	630	100	430	650	640	610	670	120	410	280	730	510	140
T39	170	100	260	310	330	150	960	730	510	770	270	830	610	450
T40	750	230	240	590	560	550	910	700	280	260	870	820	590	560
T41	920	960	820	350	750	940	120	940	840	690	340	670	590	120
T42	670	970	510	720	620	610	330	310	540	160	210	800	360	560
T43	680	510	440	680	890	700	100	850	510	660	220	280	860	230
T44	100	600	370	250	520	360	790	340	230	450	650	780	340	760
T45	550	490	880	330	600	360	780	710	960	730	730	430	540	600
T46	900	700	430	770	100	620	740	480	730	690	910	600	410	920
T47	630	550	610	860	140	290	640	790	160	530	960	500	500	480
T48	780	200	430	280	480	410	120	340	350	400	120	380	390	250
T49	250	570	500	660	880	690	470	910	790	850	980	410	850	880
T50	980	830	820	410	750	720	820	330	110	200	520	500	530	970
T51	360	740	690	400	580	820	950	580	160	650	230	630	830	300
T52	330	780	150	690	110	310	130	590	600	120	610	740	610	480
T53	490	160	520	730	300	540	360	350	760	820	400	600	190	880
T54	910	640	680	750	620	810	450	500	790	600	540	750	700	300
T55	510	580	410	850	390	580	620	310	800	540	480	970	830	270
T56	750	760	510	880	360	360	790	800	150	510	370	880	950	790
T57	630	630	920	790	730	610	550	190	850	610	290	510	880	220
T58	240	590	550	430	380	170	260	260	130	580	530	290	280	860
T59	510	620	870	340	150	520	120	790	950	330	120	440	120	550
T60	440	370	280	280	440	280	720	690	610	490	250	650	420	350
T61	420	120	810	340	330	610	780	990	870	750	780	710	450	920
T62	600	260	120	980	890	430	370	610	490	150	120	260	520	980
T63	930	800	490	760	620	610	270	650	570	310	800	340	140	870
T64	140	600	720	450	430	500	240	840	950	470	250	510	690	860
T65	860	210	170	960	420	420	590	900	800	180	900	930	560	520
T66	970	620	210	240	580	750	580	180	570	820	130	460	270	510
T67	500	520	780	990	950	860	690	750	210	310	760	250	830	750
T68	210	520	720	990	580	730	400	860	940	500	190	690	870	170
T69	130	240	370	470	900	480	900	710	560	130	520	100	310	220
T70	430	880	260	290	740	240	260	940	350	710	710	480	800	480
T71	860	910	890	680	620	780	750	820	540	430	420	800	190	410
T72	230	350	570	820	650	830	570	990	130	460	230	700	300	970
T73	640	520	650	490	400	870	200	370	200	100	480	570	300	430
T74	240	160	190	650	750	670	190	790	850	160	210	160	550	710
T75	700	620	430	640	150	470	620	920	380	140	490	890	370	750
T76	850	170	330	360	230	850	480	770	580	410	590	510	710	880
T77	220	220	730	220	460	900	840	310	970	280	610	750	300	780
T78	710	540	890	170	580	340	290	510	610	650	450	670	880	230
T79	170	570	520	680	320	900	680	140	890	680	870	190	750	300
T80	150	310	100	100	930	720	230	510	220	950	920	490	690	670
T81	500	460	270	190	470	540	110	600	320	260	450	790	640	920
T82	700	950	150	160	280	240	380	110	820	780	180	370	200	250
T83	600	860	810	890	430	230	180	690	760	120	380	640	600	630
T84	770	160	520	290	700	110	590	380	980	250	700	380	940	640
T85	160	770	160	460	990	650	920	240	770	110	370	860	560	770
T86	280	600	860	370	420	740	600	450	820	690	720	970	740	450
T87	990	120	100	770	180	730	880	540	320	500	490	270	800	670
T88	860	890	380	220	380	570	180	930	460	690	980	430	300	100
T89	500	990	760	830	190	600	190	410	590	770	290	200	480	760
T90	100	850	780	360	180	820	330	620	170	250	300	590	310	280
T91	230	920	500	660	620	360	790	900	310	160	440	390	360	410
T92	810	420	790	260	590	670	690	150	400	690	910	800	430	540
T93	120	900	640	430	320	400	990	800	250	170	400	950	900	420
T94	870	900	120	340	730	390	530	620	640	180	890	990	480	290
T95	280	770	120	770	160	780	280	610	960	160	930	140	880	890
T96	100	650	510	790	980	370	190	550	750	960	900	480	450	540
T97	640	600	520	230	190	980	930	480	660	990	330	700	180	770
T98	700	980	730	150	200	870	100	290	330	420	520	600	230	520
T99	710	290	480	610	380	280	960	820	620	720	260	320	470	110
T100	680	150	940	500	760	470	710	530	330	550	420	660	390	680
T101	380	400	990	680	430	230	350	810	280	360	610	190	220	770
T102	530	780	240	530	230	900	700	750	250	720	250	520	420	550
T103	760	850	490	950	550	170	310	550	280	510	170	540	590	770
T104	620	890	350	960	200	330	100	800	980	160	890	340	480	360
T105	170	170	230	690	190	680	890	270	960	330	320	580	730	630
T106	490	690	220	490	200	830	730	260	710	550	320	810	900	480
T107	770	930	100	560	370	910	750	970	850	700	950	840	710	820
T108	280	410	410	960	420	180	650	710	240	470	850	140	210	900
T109	960	370	820	270	800	340	680	270	470	100	230	910	970	510
T110	900	890	140	910	620	730	850	620	980	110	450	330	610	460
T111	810	440	520	740	530	700	680	390	380	110	510	330	380	220
T112	600	690	280	490	910	460	100	500	690	710	450	860	850	350
T113	400	650	300	420	840	950	260	670	570	880	600	510	290	270
T114	290	630	820	920	650	620	740	910	920	570	830	970	970	130
T115	300	740	140	680	630	560	150	380	980	360	690	110	200	740
T116	980	510	960	190	340	960	810	940	270	280	970	810	480	560
T117	220	730	950	200	670	840	140	250	830	210	440	560	360	730
T118	990	180	900	840	700	210	190	100	220	320	720	710	240	220
T119	850	400	400	440	330	320	260	710	720	970	700	330	160	720
T120	700	120	240	890	330	980	430	820	670	410	290	440	440	730
T121	800	810	180	580	550	960	550	330	860	390	440	640	470	460
T122	790	710	290	700	370	420	410	210	270	540	340	950	330	500
T123	190	170	600	570	420	730	430	140	130	470	310	240	590	830
T124	270	900	710	600	140	700	740	650	740	690	810	320	490	370
T125	440	970	570	940	630	320	840	140	290	750	620	980	350	450
T126	260	990	270	640	390	650	740	590	720	410	890	680	100	160
T127	580	920	160	910	760	190	950	830	960	180	600	590	720	880
T128	720	140	920	280	420	520	810	360	470	160	430	840	530	840
T129	120	680	820	880	400	380	380	300	180	600	850	580	150	530
T130	520	740	700	350	100	290	820	120	990	340	150	650	690	280
T131	370	680	950	400	560	650	950	360	620	440	430	400	470	250
T132	600	840	190	570	980	750	910	130	930	170	610	280	150	390
T133	900	300	150	970	600	610	210	370	870	630	780	720	240	120
T134	850	490	710	930	500	900	970	940	170	980	840	380	610	740
T135	720	460	210	990	850	920	550	290	450	260	270	910	490	290
T136	460	760	300	870	980	130	700	930	480	190	140	410	710	520
T137	870	860	570	970	380	140	990	910	170	980	100	130	470	100
T138	590	610	330	640	950	530	570	630	830	230	540	250	130	130
T139	290	610	260	650	530	110	400	490	330	290	690	650	650	310
T140	940	880	480	990	100	970	990	120	260	330	990	440	780	920
T141	670	370	590	750	570	750	590	700	870	320	140	430	480	440
