	A1	A2	A3	A4	A5	A6
T1	450	730	960	390	420	980
T2	240	180	630	130	550	400
T3	530	490	730	390	720	550
T4	700	130	160	950	800	420
T5	620	210	360	730	120	430
T6	610	570	950	670	560	910
T7	790	780	890	720	360	970
T8	730	750	900	180	640	780
T9	130	390	750	520	750	140
T10	890	230	220	820	650	480
T11	470	410	900	690	400	930
T12	670	180	470	320	440	540
T13	550	940	950	960	830	840
T14	280	640	190	870	160	720
T15	390	670	640	690	480	510
T16	860	650	350	230	300	270
T17	120	440	560	430	760	540
T18	240	300	510	390	160	130
T19	800	400	920	260	220	550
T20	980	570	120	200	770	730
T21	900	750	620	670	740	980
T22	560	320	530	740	250	360
T23	850	550	190	140	300	770
T24	140	780	360	180	700	870
T25	530	530	440	200	600	440
T26	870	900	450	920	410	830
T27	840	810	490	800	540	300
T28	610	920	490	590	380	770
T29	190	910	730	750	280	950
T30	800	850	210	250	160	260
T31	870	380	690	610	420	470
T32	610	870	340	200	260	650
T33	410	470	940	470	420	430
T34	770	510	560	600	970	460
T35	790	910	400	160	670	280
T36	430	410	280	330	610	740
T37	230	710	730	170	910	940
T38	460	450	920	970	160	390
T39	310	990	750	390	740	940
T40	520	340	200	290	990	230
T41	700	100	720	920	190	140
T42	530	210	600	430	620	480
T43	190	800	820	960	270	230
T44	120	390	200	340	380	350
T45	990	790	170	720	240	660
T46	450	890	530	750	960	340
T47	420	410	450	130	620	680
T48	870	840	990	720	600	400
T49	250	450	780	100	610	150
T50	450	970	820	970	160	880
T51	530	620	820	240	380	490
T52	570	790	110	810	940	800
T53	170	810	850	170	580	550
T54	520	690	700	960	750	200
T55	890	380	260	520	160	820
T56	950	510	890	750	440	190
T57	440	720	880	340	260	800
T58	630	370	690	700	940	120
T59	380	400	590	970	340	700
T60	660	590	920	790	880	750
T61	580	980	680	330	900	290
T62	440	550	330	180	490	920
T63	470	130	600	500	280	630
T64	360	680	910	870	360	580
T65	590	890	360	970	870	370
T66	990	550	470	160	580	250
T67	810	270	200	250	560	490
T68	170	560	380	220	900	600
T69	730	160	570	720	590	490
T70	290	700	720	330	620	740
T71	300	460	530	940	620	680
T72	590	950	650	960	900	320
T73	560	770	130	730	600	620
T74	950	530	220	590	580	520
T75	750	630	730	950	800	710
T76	340	710	140	860	850	390
T77	910	690	890	180	180	390
T78	620	250	230	320	840	170
T79	840	820	820	130	150	150
T80	510	580	160	710	530	530
T81	930	590	980	470	120	730
T82	760	710	600	150	400	290
T83	940	940	760	270	550	870
T84	950	220	260	320	920	370
T85	680	680	920	640	710	790
T86	450	270	610	580	220	470
T87	230	270	510	970	430	570
T88	760	350	520	390	750	760
T89	190	810	870	610	910	610
T90	660	890	190	700	400	710
T91	750	910	540	380	630	480
T92	220	260	630	510	160	790
T93	670	540	320	920	280	760
T94	870	660	370	650	300	840
T95	320	340	350	480	490	430
T96	270	880	240	680	430	240
T97	300	430	830	550	600	200
T98	110	320	350	580	320	570
T99	310	860	270	680	770	240
T100	570	590	930	150	430	850
T101	560	290	630	210	130	190
T102	670	550	220	830	220	370
T103	510	650	150	600	110	970
T104	450	580	440	860	520	790
T105	680	920	400	770	120	130
T106	100	400	600	240	740	190
T107	350	610	730	390	530	800
T108	180	110	330	180	480	550
T109	330	990	910	540	350	170
T110	800	560	630	480	200	690
T111	960	170	810	640	790	330
T112	170	870	790	390	280	670
T113	130	250	310	840	670	240
T114	470	800	600	440	650	580
T115	690	440	810	900	870	170
T116	120	620	710	640	410	650
T117	870	680	850	160	890	380
T118	970	840	840	450	820	920
T119	250	780	740	660	450	390
T120	540	950	770	740	370	840
T121	240	610	380	440	400	860
T122	160	930	990	880	450	350
T123	830	430	190	790	510	790
T124	160	860	120	950	930	400
T125	250	290	920	550	310	120
T126	370	520	460	720	550	690
T127	490	850	500	530	510	410
T128	980	840	150	850	550	340
