	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14
T1	500	740	770	960	740	270	500	150	740	660	940	770	790	690
T2	740	980	990	580	440	600	120	680	470	440	890	750	570	650
T3	950	290	790	500	800	770	670	600	170	270	230	940	790	650
T4	210	530	940	850	680	790	880	230	470	370	530	110	270	400
T5	430	700	770	290	160	590	540	620	400	100	390	750	890	520
T6	180	560	680	480	690	600	710	250	120	320	560	240	650	450
T7	580	860	980	910	100	780	540	190	620	120	680	460	560	180
T8	830	640	760	960	240	980	550	730	910	810	640	870	550	720
T9	690	230	660	540	260	480	240	380	690	160	820	680	130	700
T10	590	460	400	230	400	570	570	670	620	170	210	770	290	800
T11	310	770	630	540	150	510	230	200	730	230	930	920	540	730
T12	950	460	660	850	240	640	910	700	580	760	500	460	900	580
T13	430	310	830	960	380	810	310	980	120	410	130	650	950	920
T14	970	310	660	520	820	640	960	330	290	770	840	700	470	580
T15	280	780	250	210	860	430	530	130	440	100	330	110	730	460
T16	490	500	890	830	750	800	760	320	960	230	890	420	360	640
T17	630	560	330	480	300	870	700	440	440	430	100	940	690	430
T18	510	430	420	440	150	410	680	580	600	950	590	180	960	680
T19	110	740	910	140	830	470	540	780	530	650	870	760	310	170
T20	740	260	170	250	300	180	920	520	920	670	660	560	840	480
T21	770	920	460	670	630	260	420	970	560	180	190	480	740	870
T22	710	220	310	640	590	650	170	300	570	520	350	290	480	130
T23	260	530	540	900	300	680	200	270	470	200	290	770	150	730
T24	170	410	830	900	600	260	100	530	500	660	410	620	670	290
T25	920	690	100	500	950	610	170	840	570	990	170	510	790	560
T26	900	910	410	270	770	230	220	250	220	320	370	670	690	560
T27	220	160	760	380	980	390	410	430	800	540	590	550	890	500
T28	140	900	910	740	710	290	790	230	660	410	490	430	200	340
T29	920	320	550	750	120	110	530	440	610	640	130	340	140	670
T30	220	580	290	770	380	570	280	850	660	750	550	810	560	940
T31	760	800	560	590	860	820	750	940	540	140	160	260	340	120
T32	250	390	940	460	300	220	420	730	630	180	790	100	400	110
T33	240	820	260	740	460	640	510	860	800	350	160	560	570	250
T34	120	460	330	400	910	110	870	630	640	690	340	900	270	610
T35	460	500	150	490	850	470	140	590	450	330	990	890	240	180
T36	100	810	980	860	580	540	300	150	440	360	300	890	660	320
T37	880	990	320	130	600	110	430	170	450	870	240	950	230	150
T38	500	550	670	590	580	680	610	810	390	970	230	200	600	100
T39	440	920	280	210	460	660	580	860	480	770	930	400	140	800
T40	940	890	950	120	400	640	570	660	110	110	970	270	980	230
T41	600	710	550	830	320	170	610	790	840	790	380	970	870	790
T42	500	480	550	870	860	680	300	130	780	790	230	690	340	870
T43	690	540	690	820	620	610	750	530	120	200	630	510	490	610
T44	310	770	200	560	260	410	180	830	890	970	870	860	950	990
T45	250	100	840	680	280	120	950	300	570	710	680	190	520	200
T46	960	190	620	600	350	250	770	820	170	620	830	500	850	620
T47	890	320	230	260	700	690	910	580	780	800	420	250	500	990
T48	630	310	420	260	360	220	170	670	880	240	740	550	470	340
T49	430	400	660	910	410	570	330	350	610	320	820	980	910	500
T50	150	440	780	530	890	420	600	390	840	690	250	780	180	160
T51	700	560	690	320	410	550	340	220	450	710	440	780	300	370
T52	930	240	230	580	530	780	490	940	280	460	620	610	930	370
T53	450	230	660	520	590	600	320	580	860	120	600	940	900	680
T54	640	840	230	980	880	870	470	950	340	520	650	590	230	850
T55	490	260	290	260	900	330	830	570	150	240	440	980	900	210
T56	350	780	310	770	910	330	410	390	860	980	300	950	760	910
T57	470	510	890	400	380	350	440	280	750	290	660	380	590	240
T58	890	860	700	710	650	810	200	490	280	210	470	190	850	280
T59	310	900	990	130	250	530	370	700	550	860	740	320	540	200
T60	140	570	650	510	200	600	710	590	800	490	620	640	920	700
T61	800	690	190	520	740	820	920	490	310	280	850	350	730	890
T62	720	100	810	850	310	280	190	120	590	400	670	590	940	740
T63	410	160	540	420	680	630	790	260	420	220	120	150	830	420
T64	150	710	760	450	200	470	800	640	180	900	420	700	580	800
T65	950	940	540	510	760	290	620	340	530	240	240	440	260	680
T66	260	140	420	140	530	810	420	130	550	460	900	280	360	840
T67	880	980	940	150	870	160	730	180	440	810	300	790	480	940
T68	550	750	120	440	590	530	450	450	560	910	360	770	580	740
T69	900	360	130	580	370	780	730	270	120	280	710	300	150	180
T70	860	910	670	890	520	140	290	480	120	110	540	550	560	300
T71	950	320	910	590	350	410	710	130	290	210	710	550	480	210
T72	880	470	410	830	600	450	880	870	660	350	880	300	410	810
T73	780	830	150	670	160	590	120	600	990	570	690	800	110	860
T74	140	460	220	610	240	300	910	390	500	940	200	930	440	100
T75	910	920	760	930	130	330	490	790	840	860	490	960	710	460
T76	310	300	890	850	650	860	960	220	950	180	250	760	410	370
T77	300	330	110	810	930	450	950	300	160	390	820	740	870	890
T78	160	240	850	920	430	870	100	390	940	110	190	590	880	620
T79	410	710	530	300	610	830	720	790	750	100	680	150	800	830
T80	520	630	920	940	100	610	650	240	650	390	520	960	300	310
T81	120	540	300	990	740	770	560	920	980	650	910	450	340	600
T82	200	560	830	730	440	280	480	860	330	470	190	840	800	410
T83	860	590	230	220	270	650	950	360	840	340	610	570	650	480
T84	900	730	220	700	230	860	600	390	400	760	120	840	710	890
T85	490	710	660	840	650	800	430	300	940	660	930	500	920	310
T86	120	310	980	210	830	440	900	450	460	190	890	570	440	110
T87	250	660	600	370	980	430	240	210	420	170	710	640	850	440
T88	780	350	520	440	620	810	770	300	700	260	180	420	200	150
T89	100	740	380	100	590	880	650	860	750	620	680	590	800	560
T90	510	550	730	550	140	560	180	330	340	960	800	670	300	120
T91	900	860	250	740	170	540	790	510	400	320	480	800	880	770
T92	300	310	200	940	500	560	110	700	380	470	830	880	960	270
T93	500	190	530	610	900	340	520	200	380	430	230	500	310	640
T94	610	920	820	880	320	190	430	540	210	480	210	170	500	770
T95	920	810	550	870	900	330	360	610	370	330	460	440	470	130
T96	620	270	540	950	970	890	280	930	980	510	730	200	420	900
T97	210	600	230	570	190	430	510	100	280	680	530	710	140	420
T98	680	480	100	920	460	730	480	220	440	980	530	200	280	410
T99	520	360	650	190	370	370	390	490	780	860	900	210	850	590
T100	660	900	860	960	710	880	760	270	110	940	790	750	280	270
T101	820	540	150	580	510	420	660	520	420	180	200	650	290	380
T102	670	370	380	520	830	570	750	820	980	870	920	210	880	900
T103	760	490	230	310	530	220	160	510	140	110	370	510	850	470
T104	580	540	730	500	740	690	440	420	780	680	650	990	690	250
T105	520	220	790	820	130	330	920	880	420	100	440	650	230	900
T106	370	360	680	230	330	410	550	400	470	260	780	540	140	500
T107	810	970	590	320	520	400	100	980	390	230	480	110	630	340
T108	600	260	740	490	500	100	520	270	140	320	410	760	820	280
T109	770	760	830	470	740	190	520	480	640	410	870	720	740	850
