	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
T1	340	480	210	610	170	410	710	720	950	200
T2	180	990	830	150	950	310	300	780	360	520
T3	710	340	920	390	590	790	280	890	660	240
T4	280	630	350	510	920	440	170	750	480	380
T5	760	750	890	910	280	220	940	650	790	220
T6	760	970	300	840	170	380	750	600	830	640
T7	710	490	400	810	550	190	600	680	340	640
T8	880	230	860	930	320	320	220	110	160	860
T9	710	640	750	410	860	780	310	560	190	370
T10	950	780	610	550	730	980	400	100	100	420
T11	820	750	310	660	900	500	860	710	650	490
T12	770	990	620	210	380	370	830	400	190	550
T13	530	700	680	740	780	590	700	810	900	860
T14	750	270	620	620	980	410	660	750	800	140
T15	860	380	550	750	560	210	260	990	500	570
T16	870	900	400	110	240	660	120	580	940	440
T17	810	150	610	740	700	840	210	980	470	290
T18	950	820	430	450	370	830	650	370	520	900
T19	660	660	820	130	500	740	310	210	480	600
T20	320	480	700	680	800	890	890	220	910	170
T21	260	150	290	170	210	450	460	870	740	560
T22	700	700	580	250	680	910	470	700	650	890
T23	700	480	290	350	390	520	920	900	170	750
T24	670	960	720	160	790	490	500	250	690	420
T25	800	140	890	790	590	860	190	600	400	250
T26	710	860	690	960	620	390	390	650	560	690
T27	690	280	540	990	820	170	980	760	480	980
T28	790	890	700	500	530	860	690	850	610	100
T29	540	950	240	930	940	230	450	310	920	590
T30	350	500	240	770	340	440	380	730	740	330
T31	580	300	410	510	400	370	270	600	710	270
T32	250	550	740	600	430	110	940	140	230	150
T33	170	260	660	690	220	860	880	460	360	740
T34	800	760	300	290	110	270	700	150	830	160
T35	470	950	780	980	420	790	940	580	170	280
T36	860	460	880	780	710	400	850	240	530	960
T37	930	870	600	650	470	610	470	510	840	290
T38	710	650	460	360	990	110	960	200	150	610
T39	230	550	910	600	560	700	750	890	660	590
T40	300	210	440	220	230	140	690	820	450	770
T41	350	840	680	990	240	260	350	950	220	480
T42	570	870	580	190	360	810	390	810	770	750
T43	630	380	830	600	360	610	390	670	100	250
T44	490	200	610	980	500	500	290	300	270	570
T45	170	590	720	240	150	620	320	620	790	410
T46	660	800	460	350	920	110	960	100	650	450
T47	590	490	570	520	160	820	730	460	200	770
T48	490	200	210	290	620	290	260	780	930	280
