510	260	800	440	140	340	620	310	250	270	930	560	950	900	660	310	910	670	450	910	450	130	140	510	100	390	990	270	950	520	810	530	370	530	740	440	460	570	890	840	940	810	490	500	380	460	150	220
420	610	920	350	510	480	650	670	160	920	880	890	330	530	180	630	220	660	640	970	630	160	280	740	600	670	640	260	830	930	570	630	220	710	210	430	420	370	210	990	350	270	820	790	370	650	840	200
910	380	560	250	260	360	980	360	820	990	940	570	900	450	630	310	170	540	990	890	470	470	210	380	100	470	970	290	580	540	360	210	170	820	140	720	240	850	730	780	970	160	830	850	610	190	260	490
390	750	430	120	700	940	170	470	260	610	430	740	340	910	810	920	640	150	710	350	310	740	210	250	580	540	410	590	430	790	400	320	550	630	330	770	840	120	840	990	180	810	240	380	540	790	820	140
940	760	310	980	940	110	150	610	590	230	610	570	740	690	250	640	350	140	620	110	320	750	870	470	110	460	260	320	840	720	570	490	410	280	800	870	550	400	490	410	580	330	660	150	410	610	730	660
170	400	860	600	230	150	720	920	540	560	840	920	980	240	140	750	370	260	180	170	270	610	800	680	990	500	640	220	650	880	500	680	980	490	750	690	770	910	840	500	210	120	330	550	330	690	960	590
200	690	530	550	760	680	930	240	780	490	760	590	780	670	180	470	720	600	880	970	430	690	790	230	460	140	460	140	200	610	890	190	610	970	560	400	920	850	560	160	850	290	570	870	440	900	300	760
810	970	840	130	420	500	510	720	620	720	810	880	360	620	630	650	200	970	970	550	690	580	540	570	530	120	660	430	240	490	680	130	480	170	540	670	890	560	850	190	660	890	620	420	100	470	240	630
220	830	250	600	220	630	470	380	440	610	820	160	200	130	350	650	960	120	110	330	330	430	170	870	270	180	890	960	910	190	900	470	480	320	920	280	450	670	710	390	150	680	750	750	460	990	700	370
930	470	880	350	610	730	910	190	800	310	680	370	220	670	690	890	300	940	420	650	190	880	470	730	240	660	350	520	200	310	270	210	220	730	640	950	930	120	350	740	580	990	490	370	630	850	720	850
