220	530	830	940	200	650	440	530	820	260	130	600	640	420	420	990	820	860	110	390	190	180	980	360	510	490	950	520	610	790	180	850	370	930	740	740	500	420	970	230	710	720	860	910	390	370	330	930	900	740	710	640	170	610	500	300	710	900	510	470	450	260	400	250
600	310	320	390	600	130	370	700	460	740	920	290	520	450	440	110	900	650	380	260	430	480	790	940	780	930	700	540	260	930	480	550	500	130	290	230	770	760	690	500	190	110	200	880	480	720	810	400	340	350	980	180	100	600	490	260	720	670	320	740	600	290	920	370
110	540	100	480	680	510	950	640	360	250	620	410	690	180	560	130	640	610	480	510	750	170	140	960	580	800	560	760	680	970	660	910	460	140	750	990	420	850	540	110	420	340	730	790	700	920	140	430	620	100	840	750	850	260	440	800	630	790	120	100	280	880	640	310
180	260	790	110	420	150	740	190	110	890	110	230	550	910	340	880	990	530	920	390	100	960	510	670	310	340	900	700	690	210	310	790	550	940	790	500	890	900	300	230	500	550	770	230	670	800	690	380	260	440	910	160	750	740	820	800	320	710	180	380	410	870	370	760
990	740	690	180	440	290	340	490	600	210	440	800	960	270	360	730	930	480	850	230	940	460	630	240	650	150	100	300	350	120	460	360	240	800	250	100	670	600	640	290	500	660	640	480	620	900	950	870	440	470	670	950	340	430	310	390	650	740	830	310	880	800	970	890
490	940	470	870	150	490	740	880	990	820	120	540	460	250	320	800	830	240	960	460	600	590	150	120	890	550	280	520	630	390	520	870	710	990	410	540	960	630	440	790	360	320	480	190	270	820	260	630	440	740	740	930	100	510	330	120	870	440	320	790	620	340	320	540
570	730	390	100	110	920	100	940	810	220	780	310	480	960	690	480	240	830	290	670	580	410	470	800	220	670	100	720	990	250	220	880	480	520	400	460	660	270	390	710	870	390	420	570	490	410	850	250	550	190	530	220	540	860	210	610	140	260	960	990	200	560	810	840
640	140	740	410	620	760	640	210	670	200	770	600	830	640	570	910	390	760	100	250	350	820	850	460	390	940	260	940	860	680	150	950	170	650	340	330	530	960	200	870	510	530	430	940	730	530	450	200	520	730	440	860	350	650	400	830	760	450	750	690	610	520	600	220
120	460	630	150	590	620	180	150	980	270	910	190	660	570	420	150	740	610	910	860	500	160	590	940	620	560	550	460	570	540	600	610	330	410	480	430	420	910	710	600	800	940	400	110	630	410	550	860	360	960	620	570	580	720	520	270	850	420	430	740	420	170	590	410
400	780	170	750	890	290	780	550	850	960	190	680	520	600	580	980	830	870	420	450	330	650	510	990	220	280	110	740	190	600	730	480	770	470	630	150	740	850	400	300	830	650	870	690	680	560	930	760	390	360	950	180	790	470	880	930	270	880	290	830	290	110	410	690
