860	830	280	620	940	970	180	520	240	470	770	800	240	560	930	970	460	210	240	220	890	100	420	750	300	790	340	700	840	830	530	140	840	980	680	430	860	620	710	390	180	210	930	300	430	890	390	410
900	620	900	580	670	630	550	510	370	500	220	880	220	610	920	950	560	810	510	460	420	230	960	550	790	770	230	560	390	130	950	870	820	720	370	740	180	660	980	940	940	770	880	630	570	610	410	200
620	100	940	790	970	270	750	710	160	130	800	900	610	620	320	720	760	340	760	670	260	150	450	400	480	970	920	750	590	190	450	230	100	990	430	850	110	780	920	320	360	280	170	270	500	390	280	910
640	400	230	560	690	740	580	470	960	840	120	380	520	300	520	760	860	560	870	990	370	180	460	630	190	630	230	350	130	650	820	940	530	930	640	790	220	760	350	820	210	290	400	880	670	800	400	980
100	150	690	480	160	870	930	440	410	130	440	230	130	270	290	940	940	130	500	400	800	490	650	490	660	280	380	290	570	410	850	110	520	120	100	450	700	430	350	790	350	730	200	330	590	630	980	300
630	150	100	550	470	600	390	520	960	300	450	580	900	630	650	810	270	890	330	820	900	330	770	140	130	460	550	660	900	540	250	640	550	120	220	460	630	150	950	860	700	610	680	720	790	690	110	540
280	150	730	460	750	600	280	310	260	380	490	290	890	140	630	750	890	850	730	460	850	190	570	150	880	210	470	940	660	660	130	440	240	270	710	670	640	390	800	180	760	910	370	440	620	420	580	940
460	680	150	730	260	520	620	380	900	980	200	150	450	370	970	270	440	160	170	400	690	600	430	180	170	340	300	300	820	550	460	850	980	460	920	650	490	890	280	910	800	270	420	320	820	830	400	550
480	160	250	760	460	380	400	900	150	450	100	580	720	230	340	150	560	160	570	930	630	480	240	430	500	310	320	830	560	700	870	920	450	120	970	890	960	820	930	500	390	470	890	720	650	550	690	830
820	400	260	160	360	860	940	780	260	920	750	280	910	630	180	320	630	360	750	900	660	510	380	970	350	580	670	250	840	330	900	800	210	270	150	570	630	870	400	820	790	730	880	160	150	180	570	840
