380	660	670	930	810	540	860	440	740	780	180	730	950	360	410	890	120	950	410	930	790	190	190	230	890	770	490	170	590	660	410	840	180	100	290	990	180	290	570	710	780	130	100	910	260	240	250	190
960	400	800	990	280	460	320	600	590	690	180	850	220	330	180	560	920	300	270	530	990	900	450	370	420	240	540	600	640	690	380	860	100	560	270	790	170	860	330	870	780	990	970	580	280	160	330	540
210	500	610	380	950	880	470	760	790	960	420	120	470	620	600	550	600	870	590	720	150	730	840	190	220	870	140	560	970	690	720	870	320	820	790	640	440	920	770	320	440	780	640	720	340	420	730	490
500	890	340	990	760	560	200	440	340	860	780	250	210	360	820	860	530	840	930	310	770	370	630	700	960	120	910	550	150	760	110	290	920	670	400	740	120	470	470	940	350	230	540	700	680	490	710	670
100	820	540	130	270	580	140	470	860	360	560	700	490	330	950	740	230	130	370	540	950	120	690	990	680	730	590	700	590	690	190	190	150	500	340	310	970	320	400	150	300	500	840	200	880	110	720	230
530	650	980	220	690	590	200	340	250	520	400	380	200	830	820	680	610	190	400	480	210	630	700	300	620	300	870	550	540	470	730	910	140	700	240	180	360	340	420	160	720	990	950	260	760	270	980	810
290	400	960	240	240	510	860	640	510	330	320	730	840	930	410	310	470	270	220	110	380	440	640	360	990	180	430	830	770	410	540	920	900	320	360	970	670	770	540	630	810	220	160	710	530	150	240	730
110	970	110	970	370	520	490	730	970	300	360	650	450	230	960	890	380	900	760	750	590	490	530	810	410	420	510	490	870	210	310	180	620	560	630	870	790	370	480	300	470	910	950	270	970	570	570	890
660	610	370	250	470	820	750	740	240	830	190	110	100	750	900	220	770	340	280	670	610	890	750	850	970	370	210	760	200	250	500	360	890	870	400	920	650	890	370	730	270	650	530	410	750	590	940	250
800	390	740	630	470	960	980	940	360	730	470	850	220	170	790	560	270	740	840	200	210	810	760	720	950	430	800	960	690	860	480	150	980	790	940	570	520	510	600	870	550	640	870	630	450	760	610	240
