370	220	330	880	820	740	670	670	390	730	300	460	640	910	980	450	990	240	470	700	800	190	990	750	800	150	550	780	440	920	790	440	500	990	620	540	810	150	700	950	810	360	230	640	440	410	530	780	260	390	220	420	120	530	800	850	560	110	910	920	130	410	120	100
290	390	860	200	490	860	960	640	700	540	340	720	180	650	660	970	270	520	660	480	620	520	190	350	890	420	890	540	200	840	820	680	920	410	870	670	650	920	430	820	250	740	160	470	100	260	550	720	920	510	630	900	490	930	420	550	820	330	470	330	200	990	750	150
690	350	940	330	990	810	830	960	350	110	830	390	130	520	230	840	310	460	950	410	440	730	480	250	360	900	250	700	270	720	850	840	430	860	130	730	460	340	600	660	390	630	370	120	260	500	320	510	520	840	810	630	270	690	530	690	900	110	150	870	740	760	880	500
140	420	450	720	800	380	620	140	550	800	730	550	450	130	250	610	160	600	470	820	880	730	610	930	730	180	690	180	570	230	950	880	250	740	820	210	300	800	300	170	710	920	760	870	750	410	570	470	450	730	990	940	380	870	300	250	340	860	350	540	810	900	650	300
530	670	910	680	730	480	720	110	230	630	740	320	320	900	510	840	110	690	300	260	370	470	660	710	730	600	220	400	220	390	790	630	970	840	510	320	640	900	660	920	370	440	220	920	240	980	580	740	970	450	390	240	190	440	100	130	390	700	200	130	360	210	490	710
560	740	460	210	920	120	650	960	560	680	980	170	210	670	470	930	870	250	640	820	360	650	350	440	690	630	330	520	320	320	530	170	150	880	820	390	830	960	780	410	570	910	370	970	410	930	840	110	560	520	940	420	950	660	370	310	280	760	840	460	520	170	900	880
630	620	820	110	960	240	990	980	580	130	160	710	210	400	840	270	100	440	140	640	310	330	990	590	810	880	260	710	390	580	130	910	350	460	630	440	810	510	570	270	730	200	840	270	190	180	100	500	470	760	620	400	620	130	580	180	450	210	300	510	760	860	530	240
140	890	260	840	290	680	430	830	340	650	800	650	360	130	660	540	110	760	330	230	640	350	280	750	360	240	960	500	120	230	560	760	720	320	570	860	990	110	870	690	940	880	410	170	310	320	830	410	460	130	920	720	220	770	910	510	170	590	180	520	830	260	690	580
830	960	690	700	100	570	600	210	990	970	340	280	700	120	720	480	350	840	370	120	260	340	340	510	840	810	900	600	330	480	240	300	430	750	270	210	640	960	300	990	990	950	180	810	140	930	570	230	850	100	840	930	700	450	880	470	140	930	330	470	880	750	580	880
820	610	450	870	570	620	710	890	680	880	430	230	890	870	710	870	780	920	640	150	340	540	660	330	110	520	570	520	310	210	840	790	610	400	670	910	550	480	870	810	370	430	470	290	840	960	850	770	230	380	180	270	390	310	550	770	870	710	650	540	340	170	410	900
